Fall 2012,,Undergrad uate,Masters,Doctoral,Profession al,Total
Agriculture,AGEC,577,76,62,,715
,ALEC,"1,110",92,60,,"1,262"
,ANSC,884,69,40,,993
,BAEN,371,47,47,,465
,BCBP,327,8,138,,473
,CLAG,121,,,,121
,ENTO,207,13,43,,263
,ESSM,202,45,39,,286
,HRSC,175,19,20,,214
,NFSC,622,38,24,,684
,PLPM,265,8,27,,300
,POSC,143,26,11,,180
,RPTS,438,35,45,,518
,SCSC,132,41,77,,250
,WFSC,402,72,70,,544
,Subtotal,"5,976",589,703,,"7,268"
Architecture,ARCH,363,101,59,,523
,CLAR,51,,,,51
,COSC,609,62,,,671
,LAUP,184,127,55,,366
,VIZA,231,82,,,313
,Subtotal,"1,438",372,114,,"1,924"
Business Admin,ACCT,695,130,17,,842
,CLBA,"2,083",270,,,"2,353"
,FINC,520,145,14,,679
