Summer 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,634,11.4%,238,20.2%,366,1.1%,,,"1,238",9.7%,
Gender,Female,345,11.3%,85,9.0%,119,4.4%,,,549,9.4%,
,Male,289,11.6%,153,27.5%,247,-0.4%,,,689,9.9%,
Ethnicity,White,422,8.2%,129,34.4%,125,4.2%,,,676,11.6%,
,Black,29,81.3%,6,-14.3%,4,100.0%,,,39,56.0%,
,Hispanic,94,16.0%,10,-9.1%,18,-18.2%,,,122,7.0%,
,Asian,64,20.8%,8,0.0%,14,0.0%,,,86,14.7%,
,American Indian,4,100.0%,,,4,0.0%,,,8,33.3%,
,International,8,-38.5%,85,13.3%,198,0.5%,,,291,2.1%,
,Unknown/Other,13,-7.1%,0,-100.0%,3,0.0%,,,16,-11.1%,
TAMU Age,<18,1,100.0%,,,,,,,1,100.0%,
Categories,18-21,405,12.5%,2,0.0%,,,,,407,12.4%,
,22-25,218,10.1%,129,43.3%,32,-39.6%,,,379,11.1%,
,26-30,6,-25.0%,64,-1.5%,222,7.2%,,,292,4.3%,
,31-39,3,50.0%,24,-14.3%,98,6.5%,,,125,2.5%,
,40+,1,0.0%,19,46.2%,14,40.0%,,,34,41.7%,
Enrollment,1st Time in College,5,0.0%,,,,,,,5,0.0%,
Status,1st Time PB,1,0.0%,7,0.0%,,,,,8,0.0%,
,1st Time Graduate,,,6,200.0%,2,0.0%,,,8,100.0%,
,1st Time Transfer,5,25.0%,,,,,,,5,25.0%,
,Readmitted,4,0.0%,,,,,,,4,0.0%,
,Continuing,619,11.5%,225,19.0%,364,1.1%,,,"1,208",9.4%,
Tuition,Resident Tuition,591,11.9%,94,34.3%,70,2.9%,,,755,13.4%,
Status,Non-Resident  Tuition,33,65.0%,5,-54.5%,11,-26.7%,,,49,6.5%,
,Tuition Exemption/Waiver,10,-52.4%,139,18.8%,285,2.2%,,,434,4.1%,
Residency,Texas Resident,593,11.5%,97,27.6%,77,4.1%,,,767,12.5%,
Status,"Non-TX, US Resident",33,37.5%,54,17.4%,87,-1.1%,,,174,10.1%,
,"Non-TX, Non-US Resident",8,-38.5%,87,14.5%,202,1.0%,,,297,2.8%,
SCH,< 6 SCH,269,20.6%,63,18.9%,38,-15.6%,,,370,15.3%,
Categories,6-8 SCH,256,6.2%,168,18.3%,326,3.5%,,,750,7.4%,
,9-11 SCH,64,-3.0%,5,150.0%,0,-100.0%,,,69,0.0%,
,12-14 SCH,40,5.3%,2,100.0%,2,100.0%,,,44,10.0%,
,15-17 SCH,4,300.0%,,,,,,,4,300.0%,
,>17 SCH,1,100.0%,,,,,,,1,100.0%,
Ft/Pt:,Less Than Half Time,74,4.2%,11,-15.4%,11,-8.3%,,,96,0.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","234
3","17.0%
-70.0%",22,69.2%,4,-50.0%,,,"260
3","17.6%
-70.0%",
,Full-Time,323,12.2%,205,19.2%,351,2.6%,,,879,9.6%,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,
