Summer 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,577,15.9%,211,11.1%,39,8.3%,,,827,14.2%,
Gender,Female,128,20.8%,73,9.0%,18,38.5%,,,219,17.7%,
,Male,449,14.5%,138,12.2%,21,-8.7%,,,608,13.0%,
Ethnicity,White,480,16.5%,82,0.0%,10,11.1%,,,572,13.7%,
,Black,10,42.9%,6,20.0%,1,0.0%,,,17,30.8%,
,Hispanic,55,-9.8%,9,-25.0%,2,-33.3%,,,66,-13.2%,
,Asian,15,114.3%,3,-40.0%,2,100.0%,,,20,53.8%,
,American Indian,6,50.0%,,,1,100.0%,,,7,75.0%,
,International,8,100.0%,111,35.4%,23,4.5%,,,142,31.5%,
,Unknown/Other,3,0.0%,0,-100.0%,,,,,3,-57.1%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,216,22.7%,,,,,,,216,22.7%,
,22-25,319,8.9%,97,19.8%,,,,,416,11.2%,
,26-30,33,37.5%,86,19.4%,7,-41.7%,,,126,16.7%,
,31-39,7,75.0%,22,-29.0%,23,53.3%,,,52,4.0%,
,40+,2,100.0%,6,0.0%,9,0.0%,,,17,6.3%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,1,100.0%,1,100.0%,,,,,2,100.0%,
,1st Time Graduate,,,9,0.0%,,,,,9,0.0%,
,1st Time Transfer,13,160.0%,,,,,,,13,160.0%,
,Readmitted,1,-83.3%,0,-100.0%,,,,,1,-85.7%,
,Continuing,562,15.4%,201,11.7%,39,8.3%,,,802,14.1%,
Tuition,Resident Tuition,549,15.6%,83,-6.7%,15,7.1%,,,647,11.9%,
Status,Non-Resident  Tuition,8,0.0%,54,63.6%,3,-50.0%,,,65,38.3%,
,Tuition Exemption/Waiver,20,33.3%,74,8.8%,21,31.3%,,,115,16.2%,
Residency,Texas Resident,555,15.1%,84,-6.7%,13,0.0%,,,652,11.5%,
Status,"Non-TX, US Resident",14,16.7%,15,-6.3%,3,200.0%,,,32,10.3%,
,"Non-TX, Non-US Resident",8,100.0%,112,33.3%,23,4.5%,,,143,30.0%,
SCH,< 6 SCH,167,-15.2%,112,12.0%,17,0.0%,,,296,-5.7%,
Categories,6-8 SCH,196,28.9%,70,4.5%,21,10.5%,,,287,20.6%,
,9-11 SCH,136,52.8%,26,52.9%,,,,,162,52.8%,
,12-14 SCH,65,25.0%,3,-25.0%,1,100.0%,,,69,23.2%,
,15-17 SCH,11,83.3%,0,-100.0%,,,,,11,37.5%,
,>17 SCH,2,0.0%,,,,,,,2,0.0%,
Ft/Pt:,Less Than Half Time,18,-35.7%,28,7.7%,8,-11.1%,,,54,-14.3%,
"TAMU
Status","Half-Time
Three-Quarter Time",185,0.5%,"45
7","-19.6%
100.0%",6,0.0%,,,"236
7","-4.1%
100.0%",
,Full-Time,374,30.8%,131,21.3%,25,19.0%,,,530,27.7%,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,
