"Summer 2008
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                  VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies        GEST
Subtotal Other - Special         CLMD Populations              COFD
SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
2
1
1
2
1
1
2
7
7
24","Sophomore
1
1
1
1
1
3
1
1
1
1
36","Junior
3
3
2
1
3
1
1
62","Senior
1
1
2
2
6
1
1
10
2
1
1
4
1
1
114","PB
3","Total
1
1
6
8
6
8
1
1
1
1
18
2
2
1
3
8
1
1
8
8
239",PB,Master,PhD,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,6,4,6,16,16,,,23,
,,,,,,,,,,,,,,,1,
,,,,,,,,4,,4,7,7,,,11,
,,,,,,,,5,,5,17,17,,,28,
,,,,,,,,3,,4,18,18,,,22,
,,,,,,,1,18,,19,58,58,,,85,
,,,,,,,,1,,1,4,4,,,5,
,,,,,,,,,,,,,,,6,
,,,,,,,,2,,2,4,4,,,6,
,,,,,,,,10,,14,21,21,,,43,
,,,,,,,,2,,2,13,13,,,16,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,10,10,,,10,
,,,,,,,,1,,1,5,5,,,7,
,,,,,,,,1,,1,3,3,,,4,
,,,,,,,,17,4,21,60,60,,,99,
,,,,,,,,6,,6,29,29,,,37,
,,,,,,,,38,,38,60,60,,,100,
,,,,,,,,9,,9,38,38,,,48,
,,,,,,,,15,1,16,48,48,,,67,
,,,,,,,,16,,16,23,23,,,39,
,,,,,,,,84,1,85,198,198,,,291,
,,,,,,,,2,,2,4,4,,,7,
,,,,,,,,6,,6,7,7,,,13,
,,,,,,,,2,,2,1,1,,,3,
,,,,,,,,1,,1,8,8,,,9,
,,,,,,,,1,,1,5,5,,,6,
,,,,,,,,12,,12,25,25,,,38,
,,,,,,,,,,,,,,,8,
,,,,,,,,,,,,,,,8,
,,,,,,,5,,,5,,,,,5,
,,,,,,,,1,,1,1,1,,,2,
,,,,,,,2,,,2,,,,,2,
,,,,,,,7,1,,8,1,1,,,9,
,,,,,,,10,"1,020",11,"1,041","1,174","1,174",,,"2,454",
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,,,,,
