Top 10,,,,,,,,
Summer 2008  Feeder Patterns New Graduate,,,,,,,,
Country,,,Students  % Total,,,,,
United States,,,364,,,89.9%,,
"China, People's Rep of",,,8,,,2.0%,,
Indonesia,,,4,,,1.0%,,
India,,,4,,,1.0%,,
"Korea, Republic of",,,4,,,1.0%,,
Colombia,,,2,,,0.5%,,
Japan,,,1,,,0.2%,,
Greece,,,1,,,0.2%,,
Ethiopia,,,1,,,0.2%,,
Canada,,,1,,,0.2%,,
Texas County   Students  % Total,,,,,,,,
Harris,,74,,,18.3%,,,
Brazos,,59,,,14.6%,,,
Fort Bend,,22,,,5.4%,,,
Bexar,,17,,,4.2%,,,
Tarrant,,14,,,3.5%,,,
Dallas,,13,,,3.2%,,,
Travis,,11,,,2.7%,,,
Bell,,8,,,2.0%,,,
Denton,,8,,,2.0%,,,
Webb,,7,,,1.7%,,,
State,Students  % Total,,,,,,,
Texas,346,,,85.4%,,,,
Georgia,2,,,0.5%,,,,
Florida,2,,,0.5%,,,,
Arizona,2,,,0.5%,,,,
Utah,2,,,0.5%,,,,
Alaska,1,,,0.2%,,,,
Nebraska,1,,,0.2%,,,,
Missouri,1,,,0.2%,,,,
Minnesota,1,,,0.2%,,,,
Kansas,1,,,0.2%,,,,
