Summer 2008,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Agriculture,AGBL,38,46.2%,19,280.0%,46,4.5%,,,38,46.2%,
,AGBU,68,33.3%,,,,,,,87,55.4%,
,AGCJ,61,19.6%,,,,,,,61,19.6%,
,AGEC,150,18.1%,38,72.7%,,,,,234,21.2%,
,AGED,,,42,27.3%,34,-12.8%,,,76,5.6%,
,AGEN,19,-52.5%,,,,,,,19,-52.5%,
,AGLS,183,-9.9%,,,,,,,183,-9.9%,
,AGRO,39,2.6%,12,0.0%,9,12.5%,,,60,3.4%,
,AGSC,38,26.7%,,,,,,,38,26.7%,
,AGSM,63,5.0%,0,-100.0%,,,,,63,3.3%,
,ALED,401,8.7%,20,185.7%,,,,,421,12.0%,
,ANBR,,,4,300.0%,0,-100.0%,,,4,100.0%,
,ANSC,268,5.1%,44,15.8%,11,-8.3%,,,323,5.9%,
,BAEN,20,300.0%,23,53.3%,14,-17.6%,,,57,54.1%,
,BESC,103,19.8%,,,,,,,103,19.8%,
,BICH,56,-20.0%,30,11.1%,59,-18.1%,,,145,-14.2%,
,BIOT,,,19,100.0%,,,,,19,100.0%,
,BIPH,,,1,100.0%,,,,,1,100.0%,
,BSEN,4,33.3%,,,,,,,4,33.3%,
,CDEV,4,100.0%,,,,,,,4,100.0%,
,DASC,2,100.0%,2,100.0%,,,,,4,300.0%,
,ECOR,3,100.0%,,,,,,,3,100.0%,
,ENST,8,166.7%,,,,,,,8,166.7%,
,ENTO,42,23.5%,21,31.3%,22,-15.4%,,,85,11.8%,
,FISC,,,1,100.0%,,,,,1,100.0%,
,FIVL,3,100.0%,,,,,,,3,100.0%,
,FLOR,1,100.0%,0,-100.0%,,,,,1,-66.7%,
,FORS,5,25.0%,5,25.0%,5,-37.5%,,,15,-6.3%,
,FSTC,40,14.3%,19,1800.0%,15,100.0%,,,74,105.6%,
,GENE,31,0.0%,9,100.0%,21,950.0%,,,61,84.8%,
,HORT,71,31.5%,9,12.5%,15,0.0%,,,95,23.4%,
,MEPS,,,4,100.0%,16,100.0%,,,20,100.0%,
,NRDV,,,6,200.0%,,,,,6,200.0%,
,NUSC,228,-6.9%,,,,,,,228,-6.9%,
,NUTR,,,16,1500.0%,13,100.0%,,,29,2800.0%,
,PLBR,,,12,9.1%,11,22.2%,,,23,15.0%,
,PLPA,,,13,85.7%,9,-25.0%,,,22,15.8%,
,POSC,59,22.9%,10,42.9%,13,8.3%,,,82,22.4%,
,PREP,,,9,50.0%,11,0.0%,,,20,17.6%,
,PSSC,1,100.0%,,,,,,,1,100.0%,
,RENR,10,25.0%,,,,,,,10,25.0%,
,RLEM,40,-13.0%,20,-9.1%,8,-11.1%,,,68,-11.7%,
,RPTS,147,6.5%,10,-16.7%,25,13.6%,,,182,5.8%,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,
