"Summer 2008
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts            ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                   BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine         VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies      GEST
Subtotal
Other - Special        CLMD Populations             COFD GACD
MARS SABX SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,56,-6.7%,,,9,28.6%,,,,,,23,-4.2%,,2,0.0%,90,-3.2%,
,18,38.5%,,,1,100.0%,1,100.0%,,,,1,100.0%,,0,-100.0%,21,50.0%,
,71,10.9%,1,-66.7%,7,-12.5%,4,0.0%,,1,0.0%,11,-8.3%,,1,0.0%,96,3.2%,
,63,21.2%,,,4,-33.3%,1,-50.0%,,,,28,-9.7%,,,,96,5.5%,
,33,10.0%,,,2,0.0%,1,100.0%,,,,22,15.8%,,,,58,13.7%,
,241,10.0%,1,-66.7%,23,0.0%,7,16.7%,,1,0.0%,85,-1.2%,,3,-25.0%,361,5.6%,
,44,-18.5%,1,0.0%,10,66.7%,0,-100.0%,,1,100.0%,5,150.0%,,1,0.0%,62,-6.1%,
,134,-2.9%,7,250.0%,34,21.4%,7,16.7%,,2,0.0%,6,200.0%,,1,100.0%,191,7.3%,
,328,15.9%,13,62.5%,41,51.9%,6,20.0%,,5,150.0%,6,0.0%,,3,-57.1%,402,18.9%,
,148,-7.5%,4,100.0%,27,8.0%,9,-30.8%,,1,0.0%,43,53.6%,,1,100.0%,233,1.7%,
,225,-13.8%,20,53.8%,32,39.1%,12,100.0%,,1,-50.0%,16,77.8%,,,,306,-2.5%,
,9,28.6%,1,0.0%,,,1,0.0%,,,,1,100.0%,,0,-100.0%,12,20.0%,
,21,16.7%,2,100.0%,22,15.8%,2,100.0%,,,,1,0.0%,,0,-100.0%,48,23.1%,
,230,0.9%,8,60.0%,29,16.0%,3,0.0%,,2,100.0%,,,,2,-71.4%,274,2.2%,
,33,-5.7%,1,100.0%,7,75.0%,,,,1,0.0%,0,-100.0%,,2,100.0%,44,4.8%,
,264,-22.6%,23,53.3%,54,1.9%,11,10.0%,,1,0.0%,10,-28.6%,,2,-60.0%,365,-16.9%,
,13,18.2%,0,-100.0%,8,33.3%,,,,,,,,,,,21,5.0%,
,347,9.5%,26,-13.3%,72,18.0%,22,120.0%,,1,-80.0%,7,0.0%,,1,-50.0%,476,10.2%,
,136,18.3%,22,29.4%,40,11.1%,6,-14.3%,,1,0.0%,4,-33.3%,,10,0.0%,219,14.1%,
,"1,932",-1.8%,128,32.0%,376,20.1%,79,25.4%,,16,6.7%,99,30.3%,,23,-34.3%,"2,653",3.4%,
,327,5.8%,24,71.4%,71,22.4%,52,13.0%,,3,200.0%,37,12.1%,,2,100.0%,516,11.9%,
,145,7.4%,9,28.6%,24,-27.3%,17,-5.6%,,3,0.0%,100,-2.0%,,12,-25.0%,310,-1.3%,
,1,100.0%,,,,,,,,,,,,,,,1,100.0%,
,104,9.5%,2,0.0%,14,7.7%,6,500.0%,,,,48,11.6%,,1,-50.0%,175,12.2%,
,57,23.9%,3,200.0%,11,22.2%,9,12.5%,,2,0.0%,67,-5.6%,,1,100.0%,150,9.5%,
,42,100.0%,1,0.0%,2,100.0%,2,0.0%,,,,39,8.3%,,,,86,41.0%,
,676,11.6%,39,56.0%,122,7.0%,86,14.7%,,8,33.3%,291,2.1%,,16,-11.1%,"1,238",9.7%,
,443,-5.3%,17,41.7%,84,20.0%,56,9.8%,,1,100.0%,7,250.0%,,1,-95.7%,609,-2.7%,
,24,26.3%,1,100.0%,1,0.0%,1,-50.0%,,1,0.0%,13,44.4%,,1,100.0%,42,31.3%,
,5,150.0%,,,0,-100.0%,,,,,,,,,,,5,66.7%,
,2,100.0%,,,1,100.0%,,,,,,3,200.0%,,,,6,200.0%,
,21,-8.7%,2,0.0%,3,-40.0%,2,0.0%,,0,-100.0%,9,-40.0%,,1,0.0%,38,-22.4%,
,10,66.7%,1,0.0%,,,2,100.0%,,,,6,-40.0%,,1,0.0%,20,11.1%,
,505,-2.7%,21,40.0%,89,15.6%,61,10.9%,,2,0.0%,38,2.7%,,4,-84.0%,720,-1.4%,
,571,26.0%,123,132.1%,165,26.9%,50,42.9%,,5,-37.5%,8,100.0%,,3,0.0%,925,34.8%,
,571,26.0%,123,132.1%,165,26.9%,50,42.9%,,5,-37.5%,8,100.0%,,3,0.0%,925,34.8%,
,1,0.0%,,,,,0,-100.0%,,,,5,-16.7%,,2,100.0%,8,0.0%,
,1,-99.0%,0,-100.0%,1,-87.5%,0,-100.0%,,,,2,-98.3%,,0,-100.0%,4,-98.3%,
,0,-100.0%,,,,,,,,,,,,,,,0,-100.0%,
,0,-100.0%,,,,,,,,,,,,,,,0,-100.0%,
,,,,,,,,,,,,0,-100.0%,,,,0,-100.0%,
,3,-40.0%,2,100.0%,3,200.0%,,,,,,2,100.0%,,,,10,66.7%,
,5,-95.2%,2,-71.4%,4,-55.6%,0,-100.0%,,,,9,-93.2%,,2,0.0%,22,-91.7%,
,"12,379",4.7%,826,29.7%,"2,048",18.9%,680,12.6%,,93,10.7%,"2,454",8.6%,,142,-26.8%,"18,622",7.5%,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,,,,,,,,
