"Summer 2008
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                  VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies        GEST
Subtotal Other - Special         CLMD Populations              COFD
SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,,PhD,,Professional,,Grand Total,
,"Freshman
1
2
3
3
1
4
2
2
73
73
110","Sophomore
3
2
1
1
3
1
3
14
5
5
4
4
38
38
110","Junior
1
5
3
5
3
1
7
10
5
40
6
1
7
3
3
12
12
167","Senior
1
2
5
1
12
1
1
4
9
10
2
48
8
4
1
13
7
7
211",PB,"Total
1
7
12
4
17
1
2
8
1
19
21
12
105
22
5
1
1
29
16
16
123
123
598",PB,Master,PhD,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,1,1,1,1,1,1,1,1,
,,,,,,,,1,,1,,,,,1,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,,13,
,,,,,,,,,,,,,,,4,
,,,,,,,,1,,1,2,2,,,20,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,8,
,,,,,,,,,,,,,,,1,
,,,,,,,,3,,3,1,1,,,23,
,,,,,,,,2,,2,3,3,,,26,
,,,,,,,,4,,4,6,6,,,22,
,,,,,,,,10,,10,13,13,,,128,
,,,,,,,,1,,1,1,1,,,24,
,,,,,,,,2,,2,2,2,,,9,
,,,,,,,,1,,1,,,,,2,
,,,,,,,,1,,1,1,1,,,3,
,,,,,,,,1,,1,,,,,1,
,,,,,,,,6,,6,4,4,,,39,
,,,,,,,,,,,,,,,17,
,,,,,,,,,,,1,1,,,1,
,,,,,,,,,,,2,2,,,2,
,,,,,,,,1,,1,,,,,1,
,,,,,,,,1,,1,3,3,1,1,21,
,,,,,,,,,,,,,,,123,
,,,,,,,,,,,,,,,123,
,,,,,,,,,,2,,,,,2,
,,,,,,,2,,,2,,,,,2,
,,,,,,,14,76,,91,136,136,1,1,826,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,,,,,
