Top 10,,,,,,,,,
Summer 2008  Feeder Patterns Texas A&M University Campus,,,,,,,,,
State,Students  % Total,,,,,,,,
Texas,14957,,,80.3%,,,,,
California,101,,,0.5%,,,,,
Louisiana,98,,,0.5%,,,,,
Florida,62,,,0.3%,,,,,
New York,49,,,0.3%,,,,,
Oklahoma,49,,,0.3%,,,,,
Illinois,47,,,0.3%,,,,,
Pennsylvania,42,,,0.2%,,,,,
Colorado,38,,,0.2%,,,,,
Missouri,38,,,0.2%,,,,,
Country,,,Students  % Total,,,,,,
United States,,,16140,,,,86.7%,,
India,,,684,,,,3.7%,,
"China, People's Rep of",,,517,,,,2.8%,,
"Korea, Republic of",,,292,,,,1.6%,,
Taiwan,,,123,,,,0.7%,,
Mexico,,,84,,,,0.5%,,
Turkey,,,51,,,,0.3%,,
Indonesia,,,45,,,,0.2%,,
Colombia,,,42,,,,0.2%,,
Iran,,,42,,,,0.2%,,
Texas County   Students  % Total,,,,,,,,,
Harris,,2669,,,14.3%,,,,
Brazos,,1522,,,8.2%,,,,
Dallas,,817,,,4.4%,,,,
Bexar,,785,,,4.2%,,,,
Tarrant,,738,,,4.0%,,,,
Fort Bend,,672,,,3.6%,,,,
Montgomery,,474,,,2.5%,,,,
Travis,,466,,,2.5%,,,,
Collin,,377,,,2.0%,,,,
Denton,,296,,,1.6%,,,,
