"Summer 2008
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                  VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies        GEST
Subtotal Other - Special         CLMD Populations              COFD
SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,,PhD,,Professional,,Grand Total,
,"Freshman
2
2
3","Sophomore
1
1
2
2
2
2
10","Junior
3
1
4
1
1
23","Senior
1
1
2
2
1
1
1
7
1
1
2
37","PB
1","Total
1
1
2
5
1
1
2
1
12
3
1
4
5
5
74",PB,Master,PhD,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,,1,,1,1,1,1,1,1,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,1,1,,,1,
,,,,,,,,,,,1,1,,,1,
,,,,,,,,1,,1,3,3,,,16,
,,,,,,,,,,,,,,,3,
,,,,,,,,,,,2,2,,,3,
,,,,,,,,,,,2,2,,,2,
,,,,,,,,,,,4,4,,,8,
,,,,,,,,,,,,,,,1,
,,,,,,,,1,,1,,,,,1,
,,,,,,,,1,,1,,,1,1,2,
,,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,,5,
,,,,,,,,6,,6,12,12,1,1,93,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,,,,,
