"Summer 2008
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine         VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies       GEST
Subtotal
Other - Special        CLMD
Populations             COFD SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
90
21
96
96
58
361
62
191
402
233
306
12
48
274
44
365
21
476
219
2,653
516
310
1
175
150
86
1,238
609
42
5
6
38
20
720
925
925
8
4
10
22
18,622",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,21,35,,,4,5,,,,,7,16,,2,32,58,,
,8,10,,,,1,,1,,,,1,,,8,13,,
,24,47,,1,2,5,1,3,,1,3,8,,1,30,66,,
,18,45,,,2,2,,1,,,11,17,,,31,65,,
,19,14,,,1,1,,1,,,11,11,,,31,27,,
,90,151,,1,9,14,1,6,,1,32,53,,3,132,229,,
,24,20,1,,8,2,,,1,,3,2,,1,37,25,,
,83,51,4,3,21,13,6,1,2,,3,3,1,,120,71,,
,255,73,11,2,31,10,4,2,4,1,1,5,3,,309,93,,
,27,121,1,3,6,21,4,5,1,,14,29,1,,54,179,,
,177,48,15,5,25,7,5,7,1,,11,5,,,234,72,,
,7,2,,1,,,1,,,,,1,,,8,4,,
,18,3,2,,10,12,1,1,,,,1,,,31,17,,
,87,143,4,4,6,23,1,2,1,1,,,,2,99,175,,
,6,27,1,,2,5,,,,1,,,1,1,10,34,,
,90,174,18,5,25,29,6,5,,1,6,4,,2,145,220,,
,8,5,,,4,4,,,,,,,,,12,9,,
,243,104,23,3,58,14,16,6,1,,5,2,,1,346,130,,
,92,44,15,7,24,16,5,1,1,,3,1,4,6,144,75,,
,"1,117",815,95,33,220,156,49,30,12,4,46,53,10,13,"1,549","1,104",,
,188,139,17,7,42,29,22,30,2,1,25,12,1,1,297,219,,
,55,90,5,4,13,11,10,7,2,1,29,71,6,6,120,190,,
,1,,,,,,,,,,,,,,1,,,
,47,57,2,,6,8,4,2,,,14,34,1,,74,101,,
,9,48,2,1,3,8,,9,2,,9,58,,1,25,125,,
,13,29,,1,,2,2,,,,17,22,,,32,54,,
,313,363,26,13,64,58,38,48,6,2,94,197,8,8,549,689,,
,297,146,11,6,57,27,36,20,1,,1,6,1,,404,205,,
,19,5,,1,1,,1,,1,,9,4,1,,32,10,,
,5,,,,,,,,,,,,,,5,,,
,2,,,,,1,,,,,1,2,,,3,3,,
,15,6,2,,2,1,2,,,,5,4,1,,27,11,,
,7,3,,1,,,1,1,,,5,1,,1,13,7,,
,345,160,13,8,60,29,40,21,2,,21,17,3,1,484,236,,
,256,315,50,73,79,86,18,32,1,4,1,7,2,1,407,518,,
,256,315,50,73,79,86,18,32,1,4,1,7,2,1,407,518,,
,,1,,,,,,,,,2,3,2,,4,4,,
,,1,,,1,,,,,,2,,,,3,1,,
,3,,1,1,3,,,,,,2,,,,9,1,,
,3,2,1,1,4,,,,,,6,3,2,,16,6,,
,"6,081","6,298",440,386,"1,010","1,038",320,360,48,45,757,"1,697",58,84,"8,714","9,908",,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,,,,,,,
