Summer 2008,,Undergraduate,,,,,Masters,,,,PhD,,,Professional,Total,
,,1st Time in College,1st Time PB,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
Architecture,ARCH,6,1,8,1,263,1,4,1,54,3,1,21,,79,
,COMG,,,,,,,1,,67,,,,,69,
,COSC,,,,,,,,,,,,,,264,
,COSL,,,,,96,,,,,,,,,104,
,ENDL,,,3,,88,,,,,,,,,92,
,ENDS,,,,,70,,,,,,,,,70,
,LAND,,,,,6,,2,,8,,,,,16,
,LANL,,,2,,12,,,,,,,,,14,
,LDEV,,,,,,,1,,18,,,,,19,
,URPL,,,,,,,1,,17,,,,,18,
,URSC,,,,,8,,,,,,,18,,26,
,USAR,,,,,19,,,,,,,,,19,
,VIZA,,,,,,,,,37,,,,,37,
,Subtotal,,1,13,1,562,1,9,,201,,,39,,827,
Business,ACCT,,,2,,395,,43,,44,,,16,,503,
Admin,AGBU,,,,,5,,,,,,,,,5,
,BUAD,,,24,3,238,1,,,31,,,,,303,
,FINC,,,2,1,334,,59,,41,,,12,,449,
,INFO,,,,,65,,,,1,,,2,,68,
,MGMT,,,,,187,,,,21,2,,15,,225,
,MISY,,,,,,,35,,59,,,,,94,
,MKTG,,,,1,242,,15,,22,,,13,,293,
,MLER,,,,,,,,,45,,,,,45,
,USBU,,,,1,27,,,,,,,,,28,
,Subtotal,6,,28,6,"1,493",1,152,,264,5,,58,,"2,013",
Education,CPSY,,,,,,,,,,,,28,,28,
,EDAD,,,,,,,6,,39,21,,136,,203,
,EDCI,,,,,,16,71,,157,5,1,130,,380,
,EDHL,,,1,2,153,,,,,,,,,156,
,EDIS,1,,13,5,138,,,,,,,,,157,
,EDKI,2,,6,2,183,,,,,,,,,193,
,EDSM,6,,4,3,105,,,,,,,,,118,
,EDTC,,,,,,,2,,17,,,,,19,
,EHRD,,,,,,2,14,,26,3,2,56,,103,
,EPSY,,,,,,1,8,,68,2,,47,,127,
,HEED,,,,,,1,,,8,,,15,,24,
,HLTH,,,,,111,,,,,,,,,111,
,HRDL,1,,,3,51,,,,,,,,,55,
,HRDV,,,,,57,,,,,,,,,57,
,INST,,,1,,443,,,,,,,,,444,
,ISNC,,,,1,116,,,,,,,,,117,
,KINE,,,,,176,,4,,51,2,,26,,259,
,PHED,,,,,,,1,,4,,,1,,6,
,SPMT,,,,,162,,,,,,,,,162,
,SPSY,,,,,,,,,,,,40,,40,
,TCMG,,,,,17,,,,,,,,,17,
,TCML,,,2,,15,,,,,,,,,17,
,TECR,,,,,4,,,,,,,,,4,
,Subtotal,10,,27,16,"1,731",20,106,1,370,33,4,479,,"2,797",
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,,,,,
