"Summer 2008
Headcount Total
TAMU Age                    <18
Categories                      18-21
40+
Classification                 Freshman Sophomore
Tuition Status                Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories             < 6 SCH 6-8 SCH
Ft/Pt: TAMU                Half-Time
Status                             Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus       Off-campus students                          Dorm (On-campus)",White,,,,,Black,,,,Hispanic,,,,Asian,,,,,American Indian,,International,,,,,Unknown/ Other,,,Grand Total,,,
,F,,M,,Tot,F,,M,Tot,F,,M,Tot,F,,M,,Tot,M,Tot,F,,M,To,t,M,,Tot,F,M,Tot,
,,89,,84,173,,24,33,57,,55,53,108,,7,,6,13,2,2,,1,2,,3,,1,1,176,181,357,
,,1,,,1,,,1,1,,,,,,,,,,,,,1,,,1,,,,2,1,3,
,,88,,83,171,,24,32,56,,55,53,108,,7,,6,13,2,2,,,2,,2,,1,1,174,179,353,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,
,,89,,83,172,,24,33,57,,54,53,107,,7,,6,13,2,2,,1,2,,3,,1,1,175,180,355,
,,,,1,1,,,,,,1,,1,,,,,,,,,,,,,,,,1,1,2,
,,85,,79,164,,24,30,54,,55,53,108,,7,,6,13,2,2,,1,2,,3,,1,1,172,173,345,
,,2,,2,4,,,3,3,,,,,,,,,,,,,,,,,,,,2,5,7,
,,2,,3,5,,,,,,,,,,,,,,,,,,,,,,,,2,3,5,
,,85,,79,164,,24,30,54,,55,53,108,,7,,6,13,2,2,,,,,,,1,1,171,171,342,
,,4,,4,8,,,3,3,,,,,,,,,,,,,,,,,,,,4,7,11,
,,,,1,1,,,,,,,,,,,,,,,,,1,2,,3,,,,1,3,4,
,,,,4,4,,2,,2,,2,2,4,,,,,,,,,,,,,,,,4,6,10,
,,89,,80,169,,22,33,55,,53,51,104,,7,,6,13,2,2,,1,2,,3,,1,1,172,175,347,
,,,,3,3,,2,,2,,2,2,4,,,,,,,,,,,,,,,,4,5,9,
,,89,,81,170,,22,33,55,,53,51,104,,7,,6,13,2,2,,1,2,,3,,1,1,172,176,348,
,,88,,83,171,,22,33,55,,55,52,107,,7,,6,13,2,2,,1,2,,3,,1,1,173,179,352,
,,1,,1,2,,2,,2,,,1,1,,,,,,,,,,,,,,,,3,2,5,
,,64,,66,130,,14,16,30,,24,27,51,,2,,5,7,1,1,,1,1,,2,,,,105,116,221,
,,3,,,3,,1,4,5,,,2,2,,,,,,,,,,1,,1,,,,4,7,11,
,,22,,18,40,,9,13,22,,31,24,55,,5,,1,6,1,1,,,,,,,1,1,67,58,125,
,,29,,30,59,,11,17,28,,6,12,18,,3,,1,4,,,,1,,,1,,,,50,60,110,
,,60,,54,114,,13,16,29,,49,41,90,,4,,5,9,2,2,,,2,,2,,1,1,126,121,247,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
