Office of Institutional Studies and Planning,,,,,,,
Graduate Students,,,,,,,
Summer 2008,,,,,,,
Official Combined Summer Data – Not Certified,,,,,,,
Summer 2008,,"G6: PB
Non-Degree","G7:
Masters","G8:
Doctoral","G9: GR
Conditional",Grand Total,
Head Count,Total,157,"2,903","2,521",24,"5,605",
Gender,Female,70,"1,245","1,042",12,"2,369",
,Male,87,"1,658","1,479",12,"3,236",
Ethnicity,White,114,"1,550",923,4,"2,591",
,Black,14,75,137,1,227,
,Hispanic,12,177,179,6,374,
,Asian,4,71,55,1,131,
,American Indian,,6,12,,18,
,International,10,"1,008","1,185",12,"2,215",
,Unknown/Other,3,16,30,,49,
TAMU Age,18-21,2,19,,,21,
Categories,22-25,39,"1,730",166,9,"1,944",
,26-30,43,795,"1,083",10,"1,931",
,31-39,38,260,932,4,"1,234",
,40+,35,99,340,1,475,
College,Agriculture,12,456,407,7,882,
,Architecture,2,208,40,,250,
,Business Admin,1,416,63,,480,
,Education,31,462,519,1,"1,013",
,Engineering,12,878,712,4,"1,606",
,G. Bush School of Govt,59,35,,,94,
,Geosciences,5,67,100,2,174,
,Liberal Arts,3,113,245,2,363,
,Science,14,216,367,7,604,
,Veterinary Medicine,,49,67,1,117,
,Other - Special Populations,18,3,1,,22,
Enrollment,1st Time PB,66,,,,66,
Status,1st Time Graduate,,341,64,,405,
,Readmitted,,2,4,,6,
,Continuing,91,"2,560","2,453",24,"5,128",
Tuition,Resident Tuition,122,"1,513",890,9,"2,534",
Status,Non-Resident Tuition,16,372,218,2,608,
,Tuition Exemption/Waiver,19,"1,018","1,413",13,"2,463",
Residency,Texas Resident,129,"1,544",936,9,"2,618",
Status,"Non-TX, US Resident",18,347,394,2,761,
,"Non-TX, Non-US Resident",10,"1,012","1,191",13,"2,226",
SCH,< 6 SCH,100,"1,095",697,7,"1,899",
Categories,6-8 SCH,52,"1,329","1,715",17,"3,113",
,9-11 SCH,3,293,87,,383,
,12-14 SCH,1,178,20,,199,
,15-17 SCH,1,7,2,,10,
,>17 SCH,,1,,,1,
Ft/Pt:,Less Than Half Time,2,346,377,,725,
"TAMU
Status","Half-Time
Three-Quarter Time",68,"290
11","88
2",3,"449
13",
,Full-Time,87,"2,256","2,054",21,"4,418",
"Prepared by OISP, 06 Aug 08",,,,,,,
