Top 10,,,,,,,,,
Summer 2008 Feeder Patterns Undergraduate Transfer,,,,,,,,,
Country,,Students  % Total,,,,,,,
United States,,165,,,,,98.2%,,
Hong Kong,,1,,,,,0.6%,,
El Salvador,,1,,,,,0.6%,,
Colombia,,1,,,,,0.6%,,
Texas County   Students  % Total,,,,,,,,,
Brazos,,,30,,17.9%,,,,
Harris,,,29,,17.3%,,,,
Fort Bend,,,9,,5.4%,,,,
Montgomery,,,7,,4.2%,,,,
Bexar,,,5,,3.0%,,,,
Dallas,,,5,,3.0%,,,,
Brazoria,,,4,,2.4%,,,,
Tarrant,,,4,,2.4%,,,,
Grimes,,,3,,1.8%,,,,
Angelina,,,2,,1.2%,,,,
State,Students  % Total,,,,,,,,
Texas,157,,,93.5%,,,,,
Missouri,2,,,1.2%,,,,,
Florida,2,,,1.2%,,,,,
Washington,1,,,0.6%,,,,,
New Mexico,1,,,0.6%,,,,,
New Jersey,1,,,0.6%,,,,,
Arizona,1,,,0.6%,,,,,
