"Summer 2008
Agriculture               AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture    ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal",Undergraduate,,,,,,Masters,,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1","Sophomore
1
1
2
2
1
1
2","Junior
1
3
1
1
6
1
1
1
3
2
2
1
1
6
1
1
1
1
2","Senior
2
1
1
1
1
1
1
8
2
1
3
1
1
1
3
1
1
5
7
1
2
1
2
6","PB
1
1","Total
3
1
4
1
2
1
1
2
1
16
2
1
2
1
6
3
4
2
2
11
1
2
5
8
1
1
1
4
2
2
11",PB,Master,PhD,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,,1,,1,1,1,,,3,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,1,1,,,3,
,,,,,,,,1,,1,2,2,,,19,
,,,,,,,,,,,1,1,,,3,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,1,1,,,7,
,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,11,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,2,
,,,,,,,,1,,1,,,,,6,
,,,,,,,,2,,2,1,1,,,3,
,,,,,,,,3,,3,1,1,,,12,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,1,1,,,2,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,1,1,,,12,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,,,,,
