Top 10,,,,,,,,,
Summer 2008  Feeder Patterns First Time In College,,,,,,,,,
Texas County   Students  % Total,,,,,,,,,
Harris,,,87,,20.1%,,,,
Bexar,,,26,,6.0%,,,,
Dallas,,,26,,6.0%,,,,
Hidalgo,,,23,,5.3%,,,,
Tarrant,,,20,,4.6%,,,,
Travis,,,18,,4.2%,,,,
Fort Bend,,,17,,3.9%,,,,
Cameron,,,13,,3.0%,,,,
Brazos,,,12,,2.8%,,,,
Webb,,,11,,2.5%,,,,
State,Students  % Total,,,,,,,,
Texas,410,,,94.9%,,,,,
Florida,4,,,0.9%,,,,,
Colorado,3,,,0.7%,,,,,
Louisiana,2,,,0.5%,,,,,
Oklahoma,2,,,0.5%,,,,,
Arizona,2,,,0.5%,,,,,
Oregon,1,,,0.2%,,,,,
Nevada,1,,,0.2%,,,,,
Minnesota,1,,,0.2%,,,,,
Maryland,1,,,0.2%,,,,,
Country,,Students  % Total,,,,,,,
United States,,427,,,,98.8%,,,
Saudi Arabia,,1,,,,0.2%,,,
Pakistan,,1,,,,0.2%,,,
"Korea, Republic of",,1,,,,0.2%,,,
Iran,,1,,,,0.2%,,,
Egypt (A.R.E.),,1,,,,0.2%,,,
