"Summer 2008
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                  VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies        GEST
Subtotal Other - Special         CLMD Populations              COFD
SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,,PhD,,Professional,,Grand Total,
,"Freshman
1
7
8
1
9
1
1
12
1
1
61","Sophomore
2","Junior
1
1
1
1
1
5
1
1
2
2
18","Senior
1
1
2
11",PB,"Total
1
1
1
1
1
1
1
8
15
2
9
1
1
13
3
3
92",PB,Master,PhD,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,1,,1,1,1,1,1,2,
,,,,,,,,,,,1,1,,,1,
,,,,,,,,1,,1,2,2,,,3,
,,,,,,,,,,,1,1,,,1,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,2,2,,,3,
,,,,,,,,,,,,,,,1,
,,,,,,,,1,,1,,,,,2,
,,,,,,,,1,,1,,,,,2,
,,,,,,,,,,,1,1,,,2,
,,,,,,,,,,,,,,,1,
,,,,,,,,1,,1,1,1,,,10,
,,,,,,,,3,,3,5,5,,,23,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,3,3,,,12,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,3,3,,,16,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,1,1,,,1,
,,,,,,,,,,,1,1,,,1,
,,,,,,,,1,,1,,,,,1,
,,,,,,,,1,,1,2,2,1,1,4,
,,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,,3,
,,,,,,,,,,2,,,,,2,
,,,,,,,2,,,2,,,,,2,
,,,,,,,3,16,,19,30,30,1,1,142,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,,,,,
