Office of Institutional Studies and Planning,,,,,,,,
Qatar Campus,,,,,,,,
(Not included in University Total Enrollment) Summer 2008,,,,,,,,
Official Combined Summer Data – Not Certified,,,,,,,,
Summer 2008,,Student Level,,,,,Grand Total,
,,U0,U1,U2,U3,U4,,
Head Count Total,,14,33,35,43,47,172,
Gender,Female,8,17,13,16,16,70,
,Male,6,16,22,27,31,102,
SCH Categories,< 6 SCH,14,27,29,30,32,132,
,6-8 SCH,,6,6,13,15,40,
"Prepared by OISP, 06 Aug 08",,,,,,,,
