Summer 2008,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Geosciences,ATMO,21,-25.0%,1,-66.7%,2,0.0%,1,100.0%,1,0.0%,22,-8.3%,2,0.0%,47,-16.1%,
,ENGS,18,38.5%,,,1,100.0%,,,,,1,100.0%,0,-100.0%,21,50.0%,
,ENST,12,20.0%,,,2,100.0%,1,0.0%,,,,,,,15,25.0%,
,GEOG,53,1.9%,,,5,-16.7%,3,0.0%,,,11,-8.3%,1,0.0%,75,-3.8%,
,GEOL,58,28.9%,,,4,-33.3%,1,-50.0%,,,14,-22.2%,,,77,8.5%,
,GEOP,4,-42.9%,,,,,,,,,11,-15.4%,,,15,-25.0%,
,GEOS,1,0.0%,,,,,,,,,0,-100.0%,,,1,-50.0%,
,METR,35,9.4%,,,7,40.0%,,,,,1,100.0%,,,43,16.2%,
,OCNG,33,10.0%,,,2,0.0%,1,100.0%,,,22,22.2%,,,58,16.0%,
,SPSG,3,200.0%,,,0,-100.0%,,,,,,,,,3,50.0%,
,WMHS,3,100.0%,,,,,,,,,3,100.0%,,,6,100.0%,
,Subtotal,241,10.0%,1,-66.7%,23,0.0%,7,16.7%,1,0.0%,85,-1.2%,3,-25.0%,361,5.6%,
Liberal Arts,AMST,6,100.0%,,,1,100.0%,,,1,0.0%,,,,,8,100.0%,
,ANTH,44,-18.5%,1,0.0%,10,66.7%,0,-100.0%,1,100.0%,5,150.0%,1,0.0%,62,-6.1%,
,COML,1,100.0%,,,,,,,,,,,,,1,100.0%,
,COMM,297,17.9%,10,66.7%,37,48.0%,4,0.0%,4,300.0%,6,0.0%,3,-57.1%,361,19.9%,
,ECON,148,-7.5%,4,100.0%,27,8.0%,9,-30.8%,1,0.0%,43,53.6%,1,100.0%,233,1.7%,
,ENGL,225,-13.8%,20,53.8%,32,39.1%,12,100.0%,1,-50.0%,16,77.8%,,,306,-2.5%,
,FREN,6,50.0%,1,0.0%,,,1,0.0%,,,,,,,8,33.3%,
,GERM,1,0.0%,,,,,,,,,1,100.0%,,,2,100.0%,
,HISP,1,100.0%,,,1,100.0%,,,,,0,-100.0%,,,2,100.0%,
,HIST,230,0.9%,8,60.0%,29,16.0%,3,0.0%,2,100.0%,,,2,-71.4%,274,2.2%,
,INTS,127,-5.9%,7,250.0%,33,17.9%,7,16.7%,1,0.0%,6,200.0%,1,100.0%,182,4.6%,
,MODL,1,100.0%,,,1,0.0%,,,,,,,,,2,100.0%,
,MUSC,3,0.0%,0,-100.0%,1,-50.0%,,,,,,,,,4,-42.9%,
,NUTR,2,100.0%,,,,,,,,,,,,,2,100.0%,
,PHIL,33,-5.7%,1,100.0%,7,75.0%,,,1,0.0%,0,-100.0%,2,100.0%,44,4.8%,
,POLS,264,-22.6%,23,53.3%,54,1.9%,11,10.0%,1,0.0%,10,-28.6%,2,-60.0%,365,-16.9%,
,PSYC,347,9.5%,26,-13.3%,72,18.0%,22,120.0%,1,-80.0%,7,0.0%,1,-50.0%,476,10.2%,
,RUSS,2,0.0%,,,,,,,,,,,0,-100.0%,2,-33.3%,
,SOCI,134,16.5%,22,29.4%,40,11.1%,6,-14.3%,1,0.0%,4,-33.3%,10,0.0%,217,13.0%,
,SPAN,19,5.6%,2,100.0%,20,11.1%,2,100.0%,,,1,100.0%,0,-100.0%,44,18.9%,
,TCMS,31,0.0%,3,50.0%,4,100.0%,2,100.0%,1,0.0%,,,,,41,10.8%,
,THAR,10,25.0%,0,-100.0%,7,75.0%,,,,,,,,,17,30.8%,
,Subtotal,"1,932",-1.8%,128,32.0%,376,20.1%,79,25.4%,16,6.7%,99,30.3%,23,-34.3%,"2,653",3.4%,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,,,,,,,
