"Summer 2008
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture  ARCH CLAR COSC LAUP VIZA
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education       CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
359
596
381
144
199
228
88
125
101
304
136
99
188
115
177
3,240
241
19
437
93
37
827
503
336
494
162
225
293
2,013
117
452
300
1,029
899
2,797
264
152
332
8
338
579
547
297
282
531
131
271
3,732
94
94",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,82,196,1,1,7,13,1,1,2,1,18,36,,,111,248,,
,231,254,13,38,22,28,1,3,1,,,5,,,268,328,,
,209,111,3,2,15,11,4,,3,1,7,14,1,,242,139,,
,14,76,,3,4,13,3,5,,,10,16,,,31,113,,
,46,59,4,1,4,8,11,3,,1,27,25,4,6,96,103,,
,72,89,10,20,14,12,3,3,,2,1,,,2,100,128,,
,29,24,2,1,10,5,,1,1,,4,4,4,3,50,38,,
,28,69,1,2,4,7,,1,,,6,7,,,39,86,,
,44,28,,,8,3,,,,,11,7,,,63,38,,
,171,34,5,4,41,15,11,2,,,13,8,,,241,63,,
,41,40,9,2,5,19,3,4,,,5,4,,4,63,73,,
,31,29,,2,6,6,,,1,,14,9,,1,52,47,,
,76,69,4,4,10,6,,3,,1,10,4,1,,101,87,,
,13,56,,2,5,7,1,,,2,8,21,,,27,88,,
,69,58,2,2,13,14,4,,3,,6,5,1,,98,79,,
,"1,156","1,192",54,84,168,167,42,26,11,8,140,165,11,16,"1,582","1,658",,
,72,79,3,5,7,17,8,5,2,1,21,21,,,113,128,,
,3,9,,,1,4,1,,,1,,,,,5,14,,
,42,294,1,4,2,24,,4,,2,19,42,,3,64,373,,
,14,32,1,2,2,4,,1,,1,13,23,,,30,63,,
,5,22,1,,1,4,,1,,,,3,,,7,30,,
,136,436,6,11,13,53,9,11,2,5,53,89,,3,219,608,,
,227,178,4,3,27,21,16,11,2,1,5,6,2,,283,220,,
,110,143,10,7,14,11,12,5,3,1,9,11,,,158,178,,
,149,247,8,5,15,23,11,15,1,1,4,10,2,3,190,304,,
,38,49,2,1,1,15,,6,,,20,29,,1,61,101,,
,87,90,3,1,17,11,5,2,,2,3,3,,1,115,110,,
,186,50,4,2,19,7,5,6,,,6,8,,,220,73,,
,797,757,31,19,93,88,49,45,6,5,47,67,4,5,"1,027",986,,
,57,37,4,4,6,7,,1,1,,,,,,68,49,,
,186,111,28,19,47,29,5,8,,,12,3,3,1,281,171,,
,142,28,19,7,52,16,6,1,2,,19,6,1,1,241,59,,
,488,334,31,22,45,48,13,9,3,3,8,21,1,3,589,440,,
,653,67,47,14,59,15,12,2,1,2,19,5,3,,794,105,,
,"1,526",577,129,66,209,115,36,21,7,5,58,35,8,5,"1,973",824,,
,24,127,1,8,5,29,3,6,,,10,45,2,4,45,219,,
,42,44,3,1,8,7,5,11,,,9,21,,1,67,85,,
,42,107,2,3,14,13,10,7,1,,40,85,4,4,113,219,,
,1,4,,,,,,1,,,,1,,1,1,7,,
,14,133,4,7,2,28,1,18,,2,22,105,,2,43,295,,
,64,250,1,7,15,46,3,16,,,34,142,1,,118,461,,
,19,164,3,20,8,41,3,15,,1,45,220,2,6,80,467,,
,31,199,1,8,8,30,2,11,,4,1,2,,,43,254,,
,20,79,6,6,10,20,3,3,,2,27,105,,1,66,216,,
,27,234,8,8,10,33,6,16,,2,33,147,1,6,85,446,,
,14,69,2,4,6,10,,5,,,4,16,,1,26,105,,
,20,72,2,4,4,9,1,10,,,30,118,,1,57,214,,
,318,"1,482",33,76,90,266,37,119,1,11,255,"1,007",10,27,744,"2,988",,
,24,48,2,1,1,6,1,1,,,4,4,,2,32,62,,
,24,48,2,1,1,6,1,1,,,4,4,,2,32,62,,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,,,,,,,
