"Summer 2008
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                  VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies        GEST
Subtotal Other - Special         CLMD Populations              COFD
SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
2
1
2
1
2
1
1
2
7
3
1
21
14
5
2
9
30
17
17
256
256
447","Sophomore
3
1
3
7
1
14
29
3
14
2
4
14
3
20
1
27
2
134
38
4
8
2
52
47
47
202
202
975","Junior
8
7
24
11
50
7
51
98
48
58
2
4
80
7
93
3
112
36
599
88
18
1
15
4
126
86
86
109
109
3,212","Senior
21
10
34
29
94
24
67
171
87
115
4
10
120
19
111
9
166
78
981
137
30
36
8
211
177
177
4
4
5,009","PB
2
2
1
2
3
29","Total
35
18
58
44
155
32
133
300
139
189
9
19
216
29
231
13
308
117
1,735
278
59
1
61
23
422
327
327
571
571
9,672",PB,Master,PhD,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,4,14,2,14,7,7,116,116,56,
,,,,,,,,,,,,,,,18,
,,,,,,,,5,,5,8,8,,,71,
,,,,,,,,7,,11,8,8,,,63,
,,,,,,,,17,,19,14,14,,,33,
,,,,,,,4,43,2,49,37,37,,,241,
,,,,,,,,7,,7,5,5,,,44,
,,,,,,,,1,,1,,,,,134,
,,,,,,,,8,,8,20,20,,,328,
,,,,,,,,4,,4,5,5,,,148,
,,,,,,,1,7,,8,28,28,,,225,
,,,,,,,,,,,,,,,9,
,,,,,,,,1,,1,1,1,,,21,
,,,,,,,1,5,,6,8,8,,,230,
,,,,,,,1,1,,2,2,2,,,33,
,,,,,,,,8,,8,25,25,,,264,
,,,,,,,,,,,,,,,13,
,,,,,,,,18,,18,21,21,,,347,
,,,,,,,,4,,4,15,15,,,136,
,,,,,,,3,64,,67,130,130,,,"1,932",
,,,,,,,,14,,14,35,35,,,327,
,,,,,,,1,43,,44,42,42,,,145,
,,,,,,,,,,,,,,,1,
,,,,,,,5,24,,29,14,14,,,104,
,,,,,,,,14,,14,20,20,,,57,
,,,,,,,8,20,,28,14,14,,,42,
,,,,,,,14,115,,129,125,125,,,676,
,,,,,,,,,,,,,,,443,
,,,,,,,,10,,10,14,14,,,24,
,,,,,,,,5,,5,,,,,5,
,,,,,,,,2,,2,,,,,2,
,,,,,,,,9,,9,12,12,,,21,
,,,,,,,,6,,6,4,4,,,10,
,,,,,,,,32,,32,30,30,116,116,505,
,,,,,,,,,,,,,,,571,
,,,,,,,,,,,,,,,571,
,,,,,,,1,,,1,,,,,1,
,,,,,,,,1,,1,,,,,1,
,,,,,,,3,,,3,,,,,3,
,,,,,,,4,1,,5,,,,,5,
,,,,,,,114,"1,554",14,"1,682",909,909,116,116,"12,379",
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,,,,,
