Summer 2008,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Education          CPSY
EDAD EDCI EDHL EDIS EDKI EDSM EDTC EHRD EPSY HEED HLTH HRDL HRDV INST ISNC KINE PHED SPMT SPSY TCMG TCML TECR",,"156
157
193
118
111
55
57
444
117
176
162
17
17
4","100.0%
-3.7%
35.9%
-8.5%
-9.8%
100.0%
100.0%
5.5%
-57.9%
-17.8%
-2.4%
100.0%
100.0%
0.0%","0
45
244
19
42
78
9
55
5
0
0","-100.0%
25.0%
25.8%
90.0%
44.8%
69.6%
-43.8%
14.6%
66.7%
-100.0%
-100.0%","28
158
136
61
49
15
28
1
40","-6.7%
-0.6%
19.3%
-6.2%
16.7%
36.4%
-6.7%
-50.0%
8.1%",,,"28
203
380
156
157
193
118
19
103
127
24
111
55
57
444
117
259
6
162
40
17
17
4","-17.6%
4.1%
23.4%
100.0%
-3.7%
35.9%
-8.5%
90.0%
9.6%
44.3%
-11.1%
-9.8%
100.0%
100.0%
5.5%
-57.9%
-11.3%
20.0%
-2.4%
0.0%
100.0%
100.0%
-20.0%",
,Subtotal,"1,784",3.8%,497,27.4%,516,5.3%,,,"2,797",7.7%,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
