Summer 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,533",9.6%,417,1.7%,63,-10.0%,,,"2,013",7.1%,
Gender,Female,808,8.0%,200,5.3%,19,-24.0%,,,"1,027",6.6%,
,Male,725,11.4%,217,-1.4%,44,-2.2%,,,986,7.6%,
Ethnicity,White,"1,230",4.7%,292,5.0%,32,-8.6%,,,"1,554",4.4%,
,Black,43,87.0%,5,400.0%,2,0.0%,,,50,92.3%,
,Hispanic,162,36.1%,18,-25.0%,1,-50.0%,,,181,24.8%,
,Asian,73,19.7%,20,66.7%,1,-50.0%,,,94,25.3%,
,American Indian,11,266.7%,0,-100.0%,,,,,11,83.3%,
,International,10,-28.6%,80,-11.1%,24,-11.1%,,,114,-13.0%,
,Unknown/Other,4,0.0%,2,0.0%,3,50.0%,,,9,12.5%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,984,7.5%,14,55.6%,,,,,998,8.0%,
,22-25,523,14.2%,328,-1.8%,5,150.0%,,,856,7.8%,
,26-30,18,20.0%,54,5.9%,21,-12.5%,,,93,3.3%,
,31-39,4,-60.0%,19,26.7%,30,-14.3%,,,53,-11.7%,
,40+,4,300.0%,2,100.0%,7,-22.2%,,,13,18.2%,
Enrollment,1st Time in College,6,50.0%,,,,,,,6,50.0%,
Status,1st Time PB,,,1,100.0%,,,,,1,100.0%,
,1st Time Graduate,,,152,-10.1%,5,-37.5%,,,157,-11.3%,
,1st Time Transfer,28,47.4%,,,,,,,28,47.4%,
,Readmitted,6,20.0%,,,,,,,6,20.0%,
,Continuing,"1,493",8.9%,264,9.5%,58,-6.5%,,,"1,815",8.4%,
Tuition,Resident Tuition,"1,496",10.0%,320,5.6%,20,5.3%,,,"1,836",9.2%,
Status,Non-Resident  Tuition,15,-21.1%,33,-17.5%,2,100.0%,,,50,-16.7%,
,Tuition Exemption/Waiver,22,10.0%,64,-4.5%,41,-18.0%,,,127,-7.3%,
Residency,Texas Resident,"1,498",10.0%,324,7.3%,22,0.0%,,,"1,844",9.4%,
Status,"Non-TX, US Resident",25,13.6%,13,-27.8%,17,-19.0%,,,55,-9.8%,
,"Non-TX, Non-US Resident",10,-33.3%,80,-11.1%,24,-11.1%,,,114,-13.6%,
SCH,< 6 SCH,504,10.8%,192,4.3%,9,0.0%,,,705,8.8%,
Categories,6-8 SCH,597,11.6%,82,2.5%,54,-10.0%,,,733,8.6%,
,9-11 SCH,243,19.1%,43,-30.6%,0,-100.0%,,,286,7.1%,
,12-14 SCH,181,-9.0%,98,16.7%,,,,,279,-1.4%,
,15-17 SCH,6,20.0%,1,100.0%,,,,,7,40.0%,
,>17 SCH,2,100.0%,1,100.0%,,,,,3,200.0%,
Ft/Pt:,Less Than Half Time,73,-24.7%,29,26.1%,2,-33.3%,,,104,-15.4%,
"TAMU
Status","Half-Time
Three-Quarter Time","559
1","16.7%
100.0%","59
0","-48.7%
-100.0%",2,100.0%,,,"620
1","4.4%
0.0%",
,Full-Time,900,9.4%,329,21.4%,59,-11.9%,,,"1,288",10.9%,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,
