"Summer 2008
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                  VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies        GEST
Subtotal Other - Special         CLMD Populations              COFD
SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
1
2
6
1
7
5
5
20
20
43","Sophomore
1
1
2
1
3
5
13
6
1
2
1
10
6
6
20
20
85","Junior
3
3
1
3
8
1
1
1
6
7
2
30
20
1
1
22
14
14
9
9
189","Senior
1
1
2
5
1
7
2
1
7
2
25
19
3
1
2
25
24
24
1
1
224","PB
1","Total
1
4
1
6
7
5
9
11
1
2
3
9
19
4
70
51
5
4
4
64
49
49
50
50
542",PB,Master,PhD,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,4,1,,1,1,1,7,7,1,
,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,1,1,,,7,
,,,,,,,,,,,,,,,7,
,,,,,,,,,,,1,1,,,6,
,,,,,,,,,,,,,,,9,
,,,,,,,,,,,1,1,,,12,
,,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,,3,
,,,,,,,,,,,2,2,,,11,
,,,,,,,,,,,2,2,,,22,
,,,,,,,,1,,1,1,1,,,6,
,,,,,,,,2,,2,7,7,,,79,
,,,,,,,,,,,1,1,,,52,
,,,,,,,,3,,3,9,9,,,17,
,,,,,,,,2,,2,,,,,6,
,,,,,,,,1,,1,4,4,,,9,
,,,,,,,,2,,2,,,,,2,
,,,,,,,,8,,8,14,14,,,86,
,,,,,,,,,,,,,,,56,
,,,,,,,,,,,1,1,,,1,
,,,,,,,,,,,2,2,,,2,
,,,,,,,,1,,1,1,1,,,2,
,,,,,,,,1,,1,4,4,7,7,61,
,,,,,,,,,,,,,,,50,
,,,,,,,,,,,,,,,50,
,,,,,,,,72,,76,55,55,7,7,680,
"Prepared by OISP, 06 Aug 08",,,,,,,,,,,,,,,,
