Summer 2008,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Architecture,ARCH,31,3.3%,3,0.0%,4,-33.3%,4,33.3%,1,100.0%,36,38.5%,3,50.0%,79,16.2%,
,COMG,10,11.1%,0,-100.0%,0,-100.0%,,,,,59,43.9%,,,69,32.7%,
,COSC,237,9.7%,3,0.0%,17,-19.0%,3,200.0%,1,0.0%,,,,,264,8.2%,
,COSL,89,32.8%,2,100.0%,9,-35.7%,1,0.0%,1,100.0%,2,100.0%,,,104,23.8%,
,ENDL,66,112.9%,3,100.0%,11,120.0%,5,150.0%,1,0.0%,6,200.0%,,,92,124.4%,
,ENDS,54,-34.1%,2,-33.3%,9,-35.7%,4,33.3%,1,-50.0%,0,-100.0%,0,-100.0%,70,-34.0%,
,LAND,8,-42.9%,1,100.0%,2,-50.0%,1,100.0%,,,4,0.0%,0,-100.0%,16,-30.4%,
,LANL,12,71.4%,,,2,-60.0%,,,,,,,,,14,16.7%,
,LDEV,12,-33.3%,1,100.0%,,,0,-100.0%,,,6,0.0%,0,-100.0%,19,-26.9%,
,URPL,2,-60.0%,,,1,0.0%,,,,,15,114.3%,0,-100.0%,18,28.6%,
,URSC,12,140.0%,1,0.0%,1,-50.0%,,,1,100.0%,11,-21.4%,,,26,18.2%,
,USAR,12,100.0%,,,5,100.0%,1,100.0%,1,100.0%,,,,,19,100.0%,
,VIZA,27,42.1%,1,0.0%,5,66.7%,1,-50.0%,,,3,-50.0%,0,-100.0%,37,15.6%,
,Subtotal,572,13.7%,17,30.8%,66,-13.2%,20,53.8%,7,75.0%,142,31.5%,3,-57.1%,827,14.2%,
Business,ACCT,405,-3.1%,7,-22.2%,48,17.1%,27,12.5%,3,200.0%,11,-35.3%,2,0.0%,503,-1.8%,
Admin,AGBU,4,33.3%,,,1,100.0%,,,,,,,,,5,66.7%,
,BUAD,227,9.1%,14,133.3%,23,64.3%,16,23.1%,4,100.0%,19,72.7%,0,-100.0%,303,19.8%,
,FINC,356,11.9%,12,1100.0%,36,50.0%,25,38.9%,2,100.0%,14,-22.2%,4,100.0%,449,17.5%,
,INFO,43,-8.5%,3,-25.0%,13,225.0%,5,0.0%,,,3,200.0%,1,-50.0%,68,7.9%,
,MGMT,177,11.3%,4,33.3%,28,-3.4%,7,0.0%,2,100.0%,6,-33.3%,1,0.0%,225,7.7%,
,MISY,44,83.3%,,,3,200.0%,1,0.0%,0,-100.0%,46,-14.8%,,,94,16.0%,
,MKTG,236,-13.9%,6,100.0%,26,-3.7%,11,57.1%,0,-100.0%,14,-30.0%,,,293,-11.7%,
,MLER,40,8.1%,1,100.0%,2,-60.0%,1,100.0%,0,-100.0%,0,-100.0%,1,100.0%,45,2.3%,
,USBU,22,100.0%,3,100.0%,1,100.0%,1,100.0%,,,1,100.0%,,,28,100.0%,
,Subtotal,"1,554",4.4%,50,92.3%,181,24.8%,94,25.3%,11,83.3%,114,-13.0%,9,12.5%,"2,013",7.1%,
