"Fall 2007
Agriculture               AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture     ARCH CLAR COSC LAUP
Subtotal Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
85
72
108
33
50
22
21
9
71
7
22
11
4
36
551
93
56
26
175
671
671
9
20
247
234
510
164
87
135
103
214
126
72
62
223
59
124
1,369","Sophomore
99
121
124
42
45
55
10
49
21
100
14
15
51
22
70
838
100
1
93
23
217
681
1
1
683
28
28
322
227
605
130
61
137
94
172
98
105
58
225
52
95
1,227","Junior
172
242
200
62
39
124
24
63
48
136
32
38
83
31
80
1,374
118
2
155
26
301
300
105
287
49
136
203
1,080
110
35
487
313
945
70
46
119
89
193
110
201
67
214
27
94
1,230","Senior
178
297
226
89
68
60
18
64
50
177
62
41
107
34
120
1,591
139
267
51
457
254
8
228
63
120
249
922
150
66
632
546
1,394
101
72
105
149
301
153
317
88
244
46
80
1,656","PB
2
2
3
4
1
2
1
1
1
1
18
2
2
1
5
6
1
3
1
3
2
2
3
15","Total
534
734
658
228
205
265
53
197
130
485
115
117
253
91
307
4,372
450
3
573
126
1,152
554
1,465
515
113
256
453
3,356
297
149
1,689
1,325
3,460
466
266
499
436
883
489
697
275
909
184
393
5,497",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,29,30,14,14,,,578,
,,,,,,,3,57,60,35,35,,,829,
,,,,,,,8,59,67,20,20,,,745,
,,,,,,,,13,13,7,7,,,248,
,,,,,,,,24,24,24,24,,,253,
,,,,,,,2,9,11,1,1,,,277,
,,,,,,,,23,23,14,14,,,90,
,,,,,,,1,34,35,8,8,,,240,
,,,,,,,,11,11,5,5,,,146,
,,,,,,,,,,,,,,485,
,,,,,,,,6,6,3,3,,,124,
,,,,,,,,8,8,3,3,,,128,
,,,,,,,2,22,24,13,13,,,290,
,,,,,,,,28,28,16,16,,,135,
,,,,,,,7,70,77,33,33,,,417,
,,,,,,,24,393,417,196,196,,,"4,985",
,,,,,,,1,100,101,10,10,,,561,
,,,,,,,,,,,,,,3,
,,,,,,,1,18,19,,,,,592,
,,,,,,,2,60,62,8,8,,,196,
,,,,,,,4,178,182,18,18,,,"1,352",
,,,,,,,,111,111,14,14,,,679,
,,,,,,,,154,154,,,,,"1,619",
,,,,,,,,167,167,6,6,,,688,
,,,,,,,,36,36,1,1,,,150,
,,,,,,,,37,37,8,8,,,301,
,,,,,,,,46,46,4,4,,,503,
,,,,,,,,551,551,33,33,,,"3,940",
,,,,,,,,,,,,,,297,
,,,,,,,13,88,101,163,163,,,264,
,,,,,,,5,84,89,85,85,,,323,
,,,,,,,1,79,80,18,18,,,"1,787",
,,,,,,,29,137,166,97,97,,,"1,588",
,,,,,,,48,388,436,363,363,,,"4,259",
,,,,,,,1,36,37,12,12,,,515,
,,,,,,,,16,16,8,8,,,290,
,,,,,,,,16,16,9,9,,,524,
,,,,,,,,,,6,6,,,6,
,,,,,,,,45,45,27,27,,,508,
,,,,,,,1,69,70,20,20,,,973,
,,,,,,,2,48,50,17,17,,,556,
,,,,,,,,16,16,,,,,713,
,,,,,,,,16,16,8,8,,,299,
,,,,,,,1,72,73,22,22,,,"1,004",
,,,,,,,,54,54,13,13,,,251,
,,,,,,,11,32,43,3,3,,,439,
,,,,,,,16,420,436,145,145,,,"6,078",
,,,,,,,74,119,193,,,,,193,
,,,,,,,74,119,193,,,,,193,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,,,,
