"Fall 2007
Agriculture              AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture   ARCH CLAR COSC LAUP
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                    Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,578,9.5%,4,33.3%,35,29.6%,3,-25.0%,,4,33.3%,73,15.9%,,1,-66.7%,698,10.6%,
,829,-7.7%,68,-1.4%,68,-19.0%,12,-7.7%,,7,0.0%,5,-50.0%,,1,-50.0%,990,-8.6%,
,745,-0.8%,11,-21.4%,97,31.1%,9,0.0%,,8,14.3%,17,0.0%,,3,50.0%,890,1.8%,
,248,-7.1%,7,0.0%,21,10.5%,9,350.0%,,3,0.0%,34,3.0%,,1,-50.0%,323,-3.0%,
,253,-7.3%,10,-28.6%,53,-5.4%,42,-14.3%,,1,0.0%,64,3.2%,,7,-12.5%,430,-7.1%,
,277,38.5%,41,36.7%,61,13.0%,14,-6.7%,,2,100.0%,8,60.0%,,5,66.7%,408,32.9%,
,90,-12.6%,4,0.0%,35,6.1%,6,50.0%,,1,0.0%,9,-30.8%,,1,100.0%,146,-7.6%,
,240,3.9%,2,-50.0%,29,20.8%,2,-33.3%,,,,12,-25.0%,,1,-50.0%,286,2.1%,
,146,6.6%,1,-50.0%,13,44.4%,3,50.0%,,1,100.0%,20,5.3%,,0,-100.0%,184,7.6%,
,485,9.5%,17,54.5%,100,61.3%,32,23.1%,,2,100.0%,6,-25.0%,,1,-50.0%,643,16.3%,
,124,-8.8%,13,8.3%,38,5.6%,12,33.3%,,0,-100.0%,13,-13.3%,,1,100.0%,201,-4.7%,
,128,-9.9%,3,200.0%,17,6.3%,3,200.0%,,2,100.0%,10,-23.1%,,2,100.0%,165,-5.2%,
,290,-4.0%,11,22.2%,36,20.0%,4,33.3%,,5,-16.7%,30,-18.9%,,3,-25.0%,379,-3.1%,
,135,-6.3%,4,100.0%,10,42.9%,5,66.7%,,3,-25.0%,16,6.7%,,2,0.0%,175,-1.1%,
,417,-5.0%,8,166.7%,65,20.4%,4,100.0%,,6,-25.0%,18,5.9%,,0,-100.0%,518,-1.7%,
,"4,985",-0.2%,204,10.3%,678,15.9%,160,10.3%,,45,0.0%,335,-2.3%,,29,-19.4%,"6,436",1.6%,
,561,-5.4%,14,-12.5%,105,9.4%,42,5.0%,,5,66.7%,77,4.1%,,4,-20.0%,808,-2.3%,
,3,100.0%,,,,,,,,,,,,,,,3,100.0%,
,592,4.8%,11,22.2%,72,2.9%,11,-8.3%,,4,33.3%,72,18.0%,,4,-20.0%,766,5.7%,
,196,12.0%,4,-33.3%,32,14.3%,8,14.3%,,1,-50.0%,69,11.3%,,2,-50.0%,312,9.9%,
,"1,352",1.4%,29,-6.5%,209,7.7%,61,3.4%,,10,25.0%,218,10.7%,,10,-28.6%,"1,889",2.9%,
,679,3.2%,18,125.0%,72,44.0%,34,-10.5%,,2,-33.3%,14,-12.5%,,4,0.0%,823,5.9%,
,"1,619",-2.5%,67,1.5%,229,-9.5%,85,19.7%,,12,-7.7%,49,11.4%,,7,-41.7%,"2,068",-2.4%,
,688,12.6%,10,42.9%,57,32.6%,45,60.7%,,4,-33.3%,23,0.0%,,4,-20.0%,831,14.9%,
,150,-17.6%,7,40.0%,19,11.8%,8,-27.3%,,2,100.0%,109,5.8%,,2,0.0%,297,-7.5%,
,301,-8.8%,6,-33.3%,49,16.7%,18,-10.0%,,1,0.0%,10,-9.1%,,1,-50.0%,386,-7.0%,
,503,-4.2%,9,80.0%,42,0.0%,14,0.0%,,1,100.0%,23,4.5%,,0,-100.0%,592,-2.8%,
,"3,940",-0.7%,117,17.0%,468,4.7%,204,12.1%,,22,-8.3%,228,4.1%,,18,-30.8%,"4,997",0.7%,
,297,-0.7%,19,0.0%,57,9.6%,14,55.6%,,2,0.0%,2,0.0%,,4,100.0%,395,2.6%,
,264,-6.7%,60,20.0%,86,11.7%,5,25.0%,,1,-50.0%,24,-22.6%,,4,-33.3%,444,-2.0%,
,323,-5.3%,35,25.0%,125,0.0%,7,-46.2%,,2,0.0%,43,13.2%,,2,0.0%,537,-2.2%,
,"1,787",9.4%,85,11.8%,219,19.0%,39,18.2%,,9,50.0%,36,24.1%,,7,0.0%,"2,182",10.8%,
,"1,588",-6.6%,72,4.3%,149,1.4%,31,6.9%,,7,0.0%,43,13.2%,,6,0.0%,"1,896",-5.0%,
,"4,259",0.0%,271,12.0%,636,8.7%,96,9.1%,,21,10.5%,148,7.2%,,23,0.0%,"5,454",1.9%,
,515,-3.9%,16,0.0%,116,1.8%,19,-5.0%,,,,67,-8.2%,,2,100.0%,735,-3.3%,
,290,5.5%,14,40.0%,43,-4.4%,46,-14.8%,,0,-100.0%,55,19.6%,,4,100.0%,452,4.1%,
,524,9.6%,17,-29.2%,95,9.2%,50,42.9%,,7,40.0%,143,-0.7%,,4,100.0%,840,8.4%,
,6,-33.3%,2,0.0%,0,-100.0%,,,,,,7,-30.0%,,,,15,-31.8%,
,508,-4.7%,28,-17.6%,86,0.0%,46,2.2%,,4,0.0%,212,5.0%,,6,20.0%,890,-2.1%,
,973,2.2%,20,0.0%,165,10.0%,45,12.5%,,6,0.0%,250,13.1%,,0,-100.0%,"1,459",4.8%,
,556,-6.2%,43,-10.4%,130,-2.3%,81,-3.6%,,2,100.0%,458,19.9%,,1,-75.0%,"1,271",2.1%,
,713,-1.0%,24,0.0%,101,23.2%,36,24.1%,,5,0.0%,8,-33.3%,,1,-75.0%,888,1.4%,
,299,5.3%,15,-25.0%,84,27.3%,19,-13.6%,,2,100.0%,186,36.8%,,3,50.0%,608,14.7%,
,"1,004",-4.3%,27,-3.6%,135,-10.0%,58,18.4%,,6,-25.0%,255,-1.2%,,6,-33.3%,"1,491",-3.9%,
,251,14.6%,8,-11.1%,31,-3.1%,19,18.8%,,3,200.0%,27,-12.9%,,2,-33.3%,341,9.6%,
,439,18.6%,15,0.0%,50,-7.4%,25,-7.4%,,2,100.0%,220,17.6%,,2,-50.0%,753,14.4%,
,"6,078",1.0%,229,-8.4%,"1,036",3.6%,444,5.5%,,37,12.1%,"1,888",10.9%,,31,-20.5%,"9,743",3.0%,
,193,22.2%,8,33.3%,23,35.3%,4,0.0%,,2,0.0%,18,50.0%,,4,100.0%,252,26.6%,
,193,22.2%,8,33.3%,23,35.3%,4,0.0%,,2,0.0%,18,50.0%,,4,100.0%,252,26.6%,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,,,,,,,,
