"Fall 2007
Agriculture               AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture     ARCH CLAR COSC LAUP
Subtotal Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
2
2
3
5
1
4
1
2
20
3
4
7
27
27
1
2
17
11
31
7
6
5
9
9
10
2
5
4
1
3
61","Sophomore
1
13
2
2
18
1
4
2
1
1
2
47
2
1
1
4
25
25
2
2
15
5
24
4
4
3
7
2
12
5
2
2
3
1
45","Junior
25
2
3
1
13
2
1
3
6
3
4
63
3
3
6
12
4
8
4
1
5
34
7
3
16
5
31
2
2
2
4
6
7
8
2
5
1
3
42","Senior
1
18
4
2
1
5
6
5
2
44
2
2
4
5
2
3
1
4
15
9
1
27
8
45
2
2
3
3
3
5
8
2
3
1
32","PB
1
1","Total
2
58
8
7
7
41
4
1
17
13
2
6
2
6
174
10
10
1
21
17
56
10
7
2
9
101
19
8
75
30
132
15
14
13
23
20
34
23
11
14
5
8
180",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,1,1,,,4,
,,,,,,,,,,10,10,,,68,
,,,,,,,,,1,2,2,,,11,
,,,,,,,,,,,,,,7,
,,,,,,,,3,3,,,,,10,
,,,,,,,,,,,,,,41,
,,,,,,,,,,,,,,4,
,,,,,,,,,,2,2,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,17,
,,,,,,,,,,,,,,13,
,,,,,,,,1,1,,,,,3,
,,,,,,,,3,3,2,2,,,11,
,,,,,,,,1,1,1,1,,,4,
,,,,,,,,2,2,,,,,8,
,,,,,,,1,11,12,18,18,,,204,
,,,,,,,,4,4,,,,,14,
,,,,,,,,1,1,,,,,11,
,,,,,,,,2,2,1,1,,,4,
,,,,,,,,7,7,1,1,,,29,
,,,,,,,,1,1,,,,,18,
,,,,,,,,11,11,,,,,67,
,,,,,,,,,,,,,,10,
,,,,,,,,,,,,,,7,
,,,,,,,,2,2,2,2,,,6,
,,,,,,,,,,,,,,9,
,,,,,,,,14,14,2,2,,,117,
,,,,,,,,,,,,,,19,
,,,,,,,2,18,20,40,40,,,60,
,,,,,,,,11,11,16,16,,,35,
,,,,,,,,3,3,7,7,,,85,
,,,,,,,2,7,9,33,33,,,72,
,,,,,,,4,39,43,96,96,,,271,
,,,,,,,,1,1,,,,,16,
,,,,,,,,,,,,,,14,
,,,,,,,,3,3,1,1,,,17,
,,,,,,,,,,2,2,,,2,
,,,,,,,,2,2,3,3,,,28,
,,,,,,,,,,,,,,20,
,,,,,,,,7,7,2,2,,,43,
,,,,,,,,1,1,,,,,24,
,,,,,,,,1,1,3,3,,,15,
,,,,,,,,11,11,2,2,,,27,
,,,,,,,,1,1,2,2,,,8,
,,,,,,,3,3,6,1,1,,,15,
,,,,,,,3,30,33,16,16,,,229,
,,,,,,,3,5,8,,,,,8,
,,,,,,,3,5,8,,,,,8,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,,,,
