Texas A&M University,,,,,,,,,
Office of Institutional Studies and Planning,,,,,,,,,
Residency Status by Tuition Status by College,,,,,,,,,
Fall 2007,,,,,,,,,
Enrollment Profile – Fall 2007 Official Certified 12th Class Day Data,,,,,,,,,
"Fall 2007
Agriculture         Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Architecture        Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Business              Texas Resident
Admin                 Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Education            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Engineering        Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
G. Bush               Texas Resident
School of            Non-TX, US Resident
Subtotal Geosciences        Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Liberal Arts         Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Science                Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Veterinary           Texas Resident
Medicine             Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
General               Texas Resident
Studies                Non-TX, US Resident
Non-TX, Non-US Resident Subtotal
Other -                 Texas Resident
Special                Non-TX, US Resident
Subtotal
Total                    Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Grand Total",Resident Tuition,,Non-Resident Tuition,,Tuition Exemption/Waiver,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,
,"5,637",2.4%,5,-44.4%,67,-13.0%,"5,709",2.1%,
,,,119,4.4%,271,-4.6%,390,-2.0%,
,9,-25.0%,73,2.8%,255,-1.9%,337,-1.7%,
,"5,646",2.3%,197,1.5%,593,-4.5%,"6,436",1.6%,
,"1,569",2.5%,0,-100.0%,22,15.8%,"1,591",2.4%,
,,,27,-3.6%,51,-7.3%,78,-6.0%,
,1,-66.7%,49,-2.0%,170,15.6%,220,10.0%,
,"1,570",2.3%,76,-6.2%,243,10.0%,"1,889",2.9%,
,"4,579",0.7%,5,25.0%,44,-10.2%,"4,628",0.6%,
,,,43,7.5%,94,-6.9%,137,-2.8%,
,12,33.3%,74,17.5%,146,-2.7%,232,4.5%,
,"4,591",0.7%,122,14.0%,284,-5.3%,"4,997",0.7%,
,"5,091",2.3%,3,-70.0%,50,-7.4%,"5,144",2.0%,
,,,57,-12.3%,105,-2.8%,162,-6.4%,
,2,-50.0%,61,19.6%,85,2.4%,148,7.2%,
,"5,093",2.2%,121,-4.0%,240,-2.0%,"5,454",1.9%,
,"7,137",1.1%,16,-46.7%,125,17.9%,"7,278",1.1%,
,,,155,-5.5%,415,5.1%,570,2.0%,
,33,10.0%,648,15.9%,"1,214",8.5%,"1,895",10.9%,
,"7,170",1.1%,819,8.8%,"1,754",8.3%,"9,743",3.0%,
,172,28.4%,1,-66.7%,14,75.0%,187,29.0%,
,,,4,33.3%,43,10.3%,47,11.9%,
,1,100.0%,1,0.0%,16,45.5%,18,50.0%,
,173,29.1%,6,-14.3%,73,25.9%,252,26.6%,
,533,0.6%,0,-100.0%,9,28.6%,542,0.6%,
,,,23,-14.8%,70,2.9%,93,-2.1%,
,1,100.0%,26,44.4%,92,-3.2%,119,5.3%,
,534,0.8%,49,4.3%,171,0.6%,754,0.9%,
,"5,921",-2.6%,12,-29.4%,57,-24.0%,"5,990",-3.0%,
,,,145,-9.9%,337,-0.3%,482,-3.4%,
,0,-100.0%,83,27.7%,127,-10.6%,210,-0.5%,
,"5,921",-2.7%,240,-1.2%,521,-6.1%,"6,682",-2.9%,
,"2,384",1.2%,4,-42.9%,57,14.0%,"2,445",1.3%,
,,,51,-1.9%,210,-5.0%,261,-4.4%,
,5,-50.0%,37,15.6%,332,6.1%,374,5.4%,
,"2,389",1.0%,92,1.1%,599,2.6%,"3,080",1.3%,
,"2,376",0.7%,2,-50.0%,26,-40.9%,"2,404",-0.2%,
,,,42,35.5%,58,-9.4%,100,5.3%,
,1,-66.7%,8,100.0%,33,0.0%,42,5.0%,
,"2,377",0.6%,52,33.3%,117,-17.0%,"2,546",0.1%,
,"4,074",17.9%,9,0.0%,27,58.8%,"4,110",18.1%,
,,,102,70.0%,39,-31.6%,141,20.5%,
,4,300.0%,28,180.0%,1,-87.5%,33,73.7%,
,"4,078",18.0%,139,75.9%,67,-18.3%,"4,284",18.4%,
,137,-1.4%,1,100.0%,5,66.7%,143,0.7%,
,,,7,-46.2%,37,12.1%,44,-4.3%,
,2,0.0%,91,11.0%,145,11.5%,238,11.2%,
,139,-1.4%,99,4.2%,187,12.7%,425,5.7%,
,"39,610",2.4%,58,-40.8%,503,-1.2%,"40,171",2.3%,
,,,775,2.2%,"1,730",-1.9%,"2,505",-0.6%,
,71,-9.0%,"1,179",17.2%,"2,616",5.0%,"3,866",8.1%,
,"39,681",2.4%,"2,012",8.1%,"4,849",1.8%,"46,542",2.6%,
"Prepared by OISP, 13 Nov 07",,,,,,,,,
