"Fall 2007
Agriculture               AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture     ARCH CLAR COSC LAUP
Subtotal Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
2
6
1
4
1
1
1
2
18
3
2
2
7
28
28
10
4
14
4
10
14
9
12
19
3
3
12
7
1
94","Sophomore
1
1
14
3
1
1
2
7
2
2
34
3
2
2
7
30
30
1
6
6
13
6
8
17
8
3
20
2
6
10
2
7
89","Junior
1
1
4
3
12
6
4
1
5
3
2
42
8
6
14
17
13
16
3
7
4
60
5
8
4
17
5
12
11
10
8
15
13
1
8
2
5
90","Senior
1
8
2
3
8
5
1
16
6
1
2
53
15
2
17
14
19
4
4
7
48
8
11
8
27
3
10
6
8
12
18
18
7
11
6
5
104","PB
1
1
2","Total
3
10
8
8
40
14
6
2
3
32
12
3
3
3
2
149
29
10
6
45
31
71
35
7
11
11
166
14
35
22
71
18
40
48
35
35
72
36
17
41
17
18
377",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,2,2,2,2,,,3,
,,,,,,,,,,,,,,12,
,,,,,,,,1,1,,,,,9,
,,,,,,,,1,1,,,,,9,
,,,,,,,,,,,,,,42,
,,,,,,,,,,,,,,14,
,,,,,,,,,,,,,,6,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,32,
,,,,,,,,,,,,,,12,
,,,,,,,,,,,,,,3,
,,,,,,,,,1,,,,,4,
,,,,,,,,2,2,,,,,5,
,,,,,,,,1,1,1,1,,,4,
,,,,,,,1,7,8,3,3,,,160,
,,,,,,,1,8,9,4,4,,,42,
,,,,,,,1,,1,,,,,11,
,,,,,,,,1,1,1,1,,,8,
,,,,,,,2,9,11,5,5,,,61,
,,,,,,,,2,2,1,1,,,34,
,,,,,,,,14,14,,,,,85,
,,,,,,,,10,10,,,,,45,
,,,,,,,,1,1,,,,,8,
,,,,,,,,7,7,,,,,18,
,,,,,,,,2,2,1,1,,,14,
,,,,,,,,36,36,2,2,,,204,
,,,,,,,,,,,,,,14,
,,,,,,,,1,1,4,4,,,5,
,,,,,,,,1,1,6,6,,,7,
,,,,,,,,3,3,1,1,,,39,
,,,,,,,1,5,6,3,3,,,31,
,,,,,,,1,10,11,14,14,,,96,
,,,,,,,1,,1,,,,,19,
,,,,,,,,4,4,2,2,,,46,
,,,,,,,,2,2,,,,,50,
,,,,,,,,4,4,7,7,,,46,
,,,,,,,,4,4,6,6,,,45,
,,,,,,,,4,4,5,5,,,81,
,,,,,,,,,,,,,,36,
,,,,,,,,2,2,,,,,19,
,,,,,,,1,15,16,1,1,,,58,
,,,,,,,,1,1,1,1,,,19,
,,,,,,,3,3,6,1,1,,,25,
,,,,,,,5,39,44,23,23,,,444,
,,,,,,,2,2,4,,,,,4,
,,,,,,,2,2,4,,,,,4,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,,,,
