"Fall 2007
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD MARB MARS SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
2
1
4
7
4
2
8
1
10
1
38
69
10
7
5
91
47
47
119
119
458","Sophomore
2
1
3
2
3
1
5
4
1
2
6
13
2
39
59
3
62
39
39
74
74
390","Junior
1
2
3
4
1
11
6
2
1
7
15
4
51
45
4
2
6
57
34
34
6
6
374","Senior
1
3
2
6
1
6
4
8
6
1
4
1
4
4
7
46
38
6
2
3
49
53
53
403","PB
2","Total
1
2
7
4
14
4
17
13
28
18
3
1
7
1
25
1
42
14
174
211
23
11
14
259
173
173
199
199
1,627",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,2,2,1,1,18,18,1,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,1,
,,,,,,,,,,1,1,,,15,
,,,,,,,,,,1,1,,,7,
,,,,,,,,,,,,,,17,
,,,,,,,,,,1,1,,,14,
,,,,,,,,2,2,1,1,,,31,
,,,,,,,,1,1,1,1,,,20,
,,,,,,,,,,,,,,3,
,,,,,,,,1,1,,,,,2,
,,,,,,,,,,,,,,7,
,,,,,,,,2,2,,,,,3,
,,,,,,,,,,1,1,,,26,
,,,,,,,,,,,,,,1,
,,,,,,,,2,2,3,3,,,47,
,,,,,,,,2,2,2,2,,,18,
,,,,,,,,12,12,10,10,,,196,
,,,,,,,,1,1,1,1,,,213,
,,,,,,,,4,4,8,8,,,35,
,,,,,,,,1,2,,,,,13,
,,,,,,,,4,4,6,6,,,24,
,,,,,,,,5,5,1,1,,,6,
,,,,,,,1,15,16,16,16,,,291,
,,,,,,,,1,1,,,,,192,
,,,,,,,,,,1,1,,,1,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,2,2,2,2,18,18,195,
,,,,,,,,,,,,,,199,
,,,,,,,,,,,,,,199,
,,,,,,,1,,1,,,,,1,
,,,,,,,,5,5,4,4,,,9,
,,,,,,,1,5,6,4,4,,,10,
,,,,,,,13,137,150,80,80,18,18,"1,875",
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,,,,
