Fall 2007,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
"Engineering        AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENTC ENTL HLPH IDIL IDIS INEL INEN ITDE MEEL MEEN NUEL NUEN OCEL OCEN PETE PETL RHEL RHEN SENG",,"39
38
61
71
11
7
2
65
84
12
10
61
112
22
26
9
11
4
27
52
20
42
1
45
70
9
17
7
17
36
38
7
6
1","214
224
76
82
85
88
49
57
169
205
1
178
117
178
433
177
222
3
149
137
11
85
243
87
150
2
339
550
81
101
52
113
220
145
11
4","3
6
2
1
1
2
1
1
3
1
1
1
2
5
4
2
1
5
3
4
1
3
7
1
1
2
1","8
5
4
2
12
3
5
1
8
5
6
3
9
5
15
10
1
3
5
1
2
6
4
4
4
13
2
3
2
10
3","16
6
9
10
6
1
5
2
22
20
2
1
11
17
6
6
5
4
1
4
9
8
16
8
8
2
1
1
4
6
2
4","65
29
12
12
27
10
19
11
27
26
14
25
44
64
46
35
24
25
2
8
22
13
47
55
64
8
8
8
19
26
14
4","2
1
11
9
3
13
13
2
1
2
3
7
4
1
5
1
6
2
4
2
1
3
2
1","8
8
9
17
12
10
16
7
12
12
1
15
2
9
19
25
22
7
11
1
11
5
7
15
37
6
7
2
9
17
3
2
1","1
1
1
1
1
2
2","1
1
3
2
1
2
1
1
1
3
1
2
4
1
2
2","1
5
2
10
12
1
13
2
38
30
42
3
59
1
1
1
37
1
44
4
1
32
3
1","4
57
1
42
1
38
5
55
13
90
4
121
8
1
172
15
305
6
3
2
1
1
7
141
6
204
1
21
1
33
163
22","1
2
1
1","1
4
1
1
1
1
2
2
1
1
1
1
5
2
1
1","61
51
89
102
21
21
8
18
106
159
47
13
76
177
43
99
15
18
6
32
72
36
106
2
59
133
11
26
8
21
77
49
11
10
2","299
324
102
159
139
150
95
131
233
341
6
337
159
242
694
279
595
10
187
180
14
100
284
117
349
2
422
877
101
140
63
178
437
190
17
5","360
375
191
261
160
171
103
149
339
500
6
384
172
318
871
322
694
10
202
198
20
132
356
153
455
4
481
1010
112
166
71
199
514
239
28
15
2",
,Subtotal,"1,040","5,038",65,164,223,813,99,345,9,28,344,"1,544",5,26,"1,785","7,958",9743,
G. Bush,BUSH,28,27,2,2,4,3,2,2,,1,4,4,,1,36,36,72,
School of,CAIA,11,34,,,1,8,,,,,1,,,,15,45,60,
Govt,CHLS,7,19,,1,2,2,,,,,,,,,9,23,32,
,CNPM,1,1,,,,,,,,,,,,,1,1,2,
,INTA,25,40,2,1,2,1,,,,1,2,7,,3,33,53,86,
,Subtotal,72,121,4,4,9,14,2,2,,2,7,11,,4,94,158,252,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,,,,,,,,
