"Fall 2007
Agriculture             AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture   ARCH CLAR COSC LAUP
Subtotal Business Admin      ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education       CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering            AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH of Govt                   Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
698
990
890
323
430
408
146
286
184
643
201
165
379
175
518
6,436
808
3
766
312
1,889
823
2,068
831
297
386
592
4,997
395
444
537
2,182
1,896
5,454
735
452
840
15
890
1,459
1,271
888
608
1,491
341
753
9,743
252
252",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,163,415,2,2,10,25,2,1,3,1,23,50,1,,204,494,,
,372,457,16,52,27,41,3,9,4,3,1,4,1,,424,566,,
,476,269,8,3,70,27,6,3,5,3,7,10,3,,575,315,,
,32,216,,7,6,15,2,7,1,2,10,24,,1,51,272,,
,143,110,8,2,32,21,27,15,,1,34,30,3,4,247,183,,
,112,165,19,22,29,32,3,11,1,1,6,2,1,4,171,237,,
,49,41,2,2,21,14,2,4,1,,3,6,1,,79,67,,
,51,189,2,,12,17,,2,,,4,8,,1,69,217,,
,89,57,,1,7,6,,3,,1,10,10,,,106,78,,
,411,74,13,4,77,23,22,10,2,,5,1,1,,531,112,,
,64,60,11,2,19,19,6,6,,,4,9,,1,104,97,,
,49,79,2,1,10,7,1,2,1,1,4,6,,2,67,98,,
,150,140,6,5,24,12,1,3,2,3,25,5,3,,211,168,,
,22,113,,4,4,6,4,1,1,2,5,11,1,1,37,138,,
,173,244,4,4,31,34,4,,4,2,13,5,,,229,289,,
,"2,356","2,629",93,111,379,299,83,77,25,20,154,181,15,14,"3,105","3,331",,
,268,293,7,7,36,69,21,21,4,1,33,44,3,1,372,436,,
,2,1,,,,,,,,,,,,,2,1,,
,68,524,4,7,8,64,1,10,1,3,24,48,1,3,107,659,,
,65,131,2,2,10,22,6,2,,1,29,40,,2,112,200,,
,403,949,13,16,54,155,28,33,5,5,86,132,4,6,593,"1,296",,
,384,295,11,7,35,37,17,17,1,1,8,6,2,2,458,365,,
,822,797,47,20,129,100,44,41,6,6,17,32,2,5,"1,067","1,001",,
,239,449,4,6,23,34,14,31,1,3,6,17,1,3,288,543,,
,34,116,3,4,5,14,2,6,,2,39,70,,2,83,214,,
,150,151,4,2,29,20,12,6,1,,6,4,,1,202,184,,
,386,117,7,2,25,17,10,4,1,,12,11,,,441,151,,
,"2,015","1,925",76,41,246,222,99,105,10,12,88,140,5,13,"2,539","2,458",,
,188,109,11,8,32,25,6,8,,2,,2,3,1,240,155,,
,172,92,35,25,59,27,2,3,1,,19,5,3,1,291,153,,
,287,36,29,6,107,18,6,1,1,1,34,9,2,,466,71,,
,"1,062",725,47,38,118,101,21,18,5,4,12,24,2,5,"1,267",915,,
,"1,498",90,57,15,128,21,28,3,5,2,33,10,6,,"1,755",141,,
,"3,207","1,052",179,92,444,192,63,33,12,9,98,50,16,7,"4,019","1,435",,
,77,438,3,13,22,94,3,16,,,6,61,1,1,112,623,,
,132,158,8,6,19,24,20,26,,,12,43,,4,191,261,,
,150,374,4,13,42,53,26,24,2,5,40,103,2,2,266,574,,
,1,5,1,1,,,,,,,1,6,,,3,12,,
,40,468,4,24,10,76,6,40,,4,42,170,,6,102,788,,
,197,776,4,16,30,135,6,39,2,4,43,207,,,282,"1,177",,
,50,506,12,31,19,111,11,70,,2,76,382,,1,168,"1,103",,
,99,614,8,16,22,79,6,30,1,4,1,7,,1,137,751,,
,62,237,7,8,24,60,7,12,2,,38,148,2,1,142,466,,
,115,889,10,17,16,119,6,52,,6,45,210,,6,192,"1,299",,
,43,208,2,6,9,22,3,16,2,1,5,22,,2,64,277,,
,74,365,2,13,10,40,5,20,,2,35,185,,2,126,627,,
,"1,040","5,038",65,164,223,813,99,345,9,28,344,"1,544",5,26,"1,785","7,958",,
,72,121,4,4,9,14,2,2,,2,7,11,,4,94,158,,
,72,121,4,4,9,14,2,2,,2,7,11,,4,94,158,,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,,,,,,,
