"Fall 2007
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD MARB MARS SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
1
2
6
1
2
2
5
2
2
23
23
62","Sophomore
1
1
1
1
2
2
8
2
2
4
4
14
14
50","Junior
1
1
1
2
2
1
2
1
1
1
1
12
1
1
1
1
47","Senior
1
1
1
3
1
2
1
2
10
4
2
1
7
2
2
54","PB
1","Total
1
1
2
1
4
7
3
4
2
5
1
1
7
1
36
7
4
2
1
14
9
9
38
38
214",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,1,1,1,1,2,2,2,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,1,1,,,4,
,,,,,,,,1,1,,,,,2,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,3,
,,,,,,,,,,1,1,,,5,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,5,
,,,,,,,,1,1,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,,,1,1,,,8,
,,,,,,,,1,1,1,1,,,3,
,,,,,,,,3,3,3,3,,,42,
,,,,,,,,,,,,,,7,
,,,,,,,,,,2,2,,,6,
,,,,,,,,,,,,,,2,
,,,,,,,,,,2,2,,,3,
,,,,,,,,,,4,4,,,18,
,,,,,,,,,,,,,,11,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,,,,,1,
,,,,,,,,2,2,,,2,2,13,
,,,,,,,,,,,,,,38,
,,,,,,,,,,,,,,38,
,,,,,,,,18,20,16,16,2,2,252,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,,,,
