"Fall 2007
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD MARB MARS SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
37
5
13
17
72
18
85
145
25
61
2
6
78
5
104
9
116
24
678
335
57
63
34
489
546
546
2,034
2,034
7,095","Sophomore
20
9
17
26
72
16
92
197
47
95
1
13
119
10
149
7
178
41
965
223
39
37
21
320
283
283
1,101
1,101
1
1
6,312","Junior
30
14
32
52
128
33
99
272
108
168
8
11
155
26
185
17
235
92
1,409
248
47
51
17
363
258
258
135
135
7,223","Senior
28
17
62
38
145
40
99
251
136
229
10
11
230
34
208
14
238
93
1,593
294
51
78
20
443
284
284
1
1
8,486","PB
4
1
5
7
1
8
54","Total
119
45
124
134
422
107
375
865
316
553
21
41
582
75
646
47
767
250
4,645
1,107
194
230
92
1,623
1,371
1,371
3,270
3,270
1
1
2
29,170",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,20,20,5,5,441,441,144,
,,,,,,,,3,3,,,,,48,
,,,,,,,,8,9,12,12,,,145,
,,,,,,,3,27,30,10,10,,,174,
,,,,,,,,24,24,16,16,,,40,
,,,,,,,4,82,86,43,43,,,551,
,,,,,,,,45,45,35,35,,,187,
,,,,,,,,5,5,,,,,380,
,,,,,,,,17,17,38,38,,,920,
,,,,,,,,9,9,10,10,,,335,
,,,,,,,2,27,29,53,53,,,635,
,,,,,,,,,,,,,,21,
,,,,,,,,5,5,8,8,,,54,
,,,,,,,4,14,18,38,38,,,638,
,,,,,,,1,14,15,5,5,,,95,
,,,,,,,,12,12,22,22,,,680,
,,,,,,,,,,,,,,47,
,,,,,,,1,24,25,23,23,,,815,
,,,,,,,,12,12,20,20,,,282,
,,,,,,,8,184,192,252,252,,,"5,089",
,,,,,,,1,22,23,26,26,,,"1,156",
,,,,,,,1,59,60,47,47,,,301,
,,,,,,,9,30,39,17,17,,,286,
,,,,,,,,27,27,19,19,,,138,
,,,,,,,12,34,46,10,10,,,56,
,,,,,,,23,172,195,119,119,,,"1,937",
,,,,,,,,12,12,1,1,,,"1,825",
,,,,,,,,13,13,9,9,,,22,
,,,,,,,,6,6,,,,,6,
,,,,,,,,1,1,,,,,1,
,,,,,,,,15,15,12,12,,,27,
,,,,,,,,7,7,3,3,,,10,
,,,,,,,,54,54,25,25,441,441,"1,891",
,,,,,,,,,,,,,,"3,270",
,,,,,,,,,,,,,,"3,270",
,,,,,,,1,,1,,,,,1,
,,,,,,,1,93,94,44,44,,,138,
,,,,,,,,,,,,,,1,
,,,,,,,,2,2,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,9,,9,,,,,9,
,,,,,,,11,95,106,44,44,,,152,
,,,,,,,212,"2,636","2,848","1,238","1,238",441,441,"33,697",
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,,,,
