"Fall 2007
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD MARB MARS SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
4
1
2
3
10
2
17
17
5
13
3
15
27
4
35
5
143
92
14
9
3
118
106
106
384
384
1,330","Sophomore
3
2
1
6
6
18
21
6
16
5
9
1
29
7
39
6
163
56
4
8
3
71
75
75
177
177
1,064","Junior
6
3
2
11
6
25
24
21
21
2
13
31
4
38
1
47
18
251
58
4
9
5
76
54
54
24
24
1
1
1,147","Senior
5
2
1
5
13
2
29
18
23
24
18
21
4
37
7
37
21
241
41
14
5
4
64
55
55
1,110","PB
6","Total
18
3
8
11
40
16
89
80
55
74
2
39
76
9
131
19
158
50
798
247
36
31
15
329
290
290
585
585
1
1
4,657",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,27,2,2,3,3,36,36,20,
,,,,,,,,,,,,,,3,
,,,,,,,,3,3,,,,,11,
,,,,,,,,3,3,,,,,14,
,,,,,,,,4,4,,,,,4,
,,,,,,,,12,12,,,,,52,
,,,,,,,,4,4,,,,,23,
,,,,,,,,,,,,,,89,
,,,,,,,,3,3,3,3,,,86,
,,,,,,,,4,4,,,,,59,
,,,,,,,,1,1,1,1,,,76,
,,,,,,,,,,,,,,2,
,,,,,,,,5,5,11,11,,,55,
,,,,,,,,3,3,1,1,,,80,
,,,,,,,,1,1,1,1,,,11,
,,,,,,,,2,2,4,4,,,137,
,,,,,,,,,,,,,,19,
,,,,,,,,7,7,7,7,,,172,
,,,,,,,,12,12,10,10,,,72,
,,,,,,,,42,42,41,41,,,881,
,,,,,,,,3,3,,,,,250,
,,,,,,,,6,6,15,15,,,57,
,,,,,,,,4,4,2,2,,,37,
,,,,,,,,3,3,5,5,,,23,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,17,17,23,23,,,369,
,,,,,,,,,,,,,,326,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,4,4,,,5,
,,,,,,,,3,3,4,4,36,36,333,
,,,,,,,,,,,,,,585,
,,,,,,,,,,,,,,585,
,,,,,,,,6,6,5,5,,,11,
,,,,,,,,,,,,,,1,
,,,,,,,,6,6,5,5,,,12,
,,,,,,,,314,341,248,248,36,36,"5,282",
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,,,,
