"Fall 2007
Agriculture               AGEC ALEC ANSC BAEN BCBP CLAG ENTO ESSM HRSC NFSC PLPM POSC RPTS SCSC WFSC
Subtotal
Architecture     ARCH CLAR COSC LAUP
Subtotal Business Admin       ACCT
CLBA FINC INFO MGMT MKTG
Subtotal
Education        CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering              AERO BMEN CHEN CLEN CPSC CVEN ECEN ETID ISEN MEEN NUEN PETE
Subtotal
G. Bush School        BUSH of Govt                     Subtotal",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
1
4
1
1
2
3
3
1
1
2
2
3
1
1
1
2
2
2
1
15","Sophomore
2
1
1
1
2
7
1
1
8
8
2
1
1
1
1
6","Junior
1
2
1
2
1
2
1
1
11
1
1
2
1
1
1
1
6
6
2
8
2
1
2
1
6","Senior
2
4
3
1
1
1
2
1
15
2
2
1
5
1
1
2
2
2
1
5
1
3
1
2
7","PB
1
1","Total
4
6
7
3
1
2
1
2
2
4
3
3
38
4
4
1
9
2
12
2
1
1
1
19
2
1
9
3
15
7
3
5
2
5
2
5
3
2
34",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,1,1,1,1,1,,,4,
,,,,,,,,,,,,,,7,
,,,,,,,,1,1,,,,,8,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,,,,,5,
,,,,,,,,,,,,,,3,
,,,,,,,,2,2,1,1,,,6,
,,,,,,,,5,5,2,2,,,45,
,,,,,,,,,,1,1,,,5,
,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,1,
,,,,,,,,,,1,1,,,10,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,12,
,,,,,,,,2,2,,,,,4,
,,,,,,,,1,1,,,,,2,
,,,,,,,,,,,,,,1,
,,,,,,,,,,,,,,1,
,,,,,,,,3,3,,,,,22,
,,,,,,,,,,,,,,2,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,1,1,,,2,
,,,,,,,,,,,,,,9,
,,,,,,,,2,3,1,1,,,7,
,,,,,,,1,2,3,3,3,,,21,
,,,,,,,,,,,,,,7,
,,,,,,,,,,1,1,,,4,
,,,,,,,,1,1,,,,,6,
,,,,,,,,,,,,,,2,
,,,,,,,,,,,,,,5,
,,,,,,,,,,,,,,2,
,,,,,,,,,,1,1,,,6,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,2,
,,,,,,,,1,1,2,2,,,37,
,,,,,,,1,1,2,,,,,2,
,,,,,,,1,1,2,,,,,2,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,,,,
