"Fall 2007
Headcount Total
TAMU Age                   <18
Categories                     18-21
22-25
26-30
Classification                Freshman Sophomore Junior
Tuition Status               Resident Tuition
Non-Resident  Tuition Tuition  Exemption/Waiver
Residency Status           Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories            < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt: TAMU               Less Than Half Time
Status                            Half-Time
Three-Quarter Time Full-Time
Top 10% Texas             No
High School                  Yes
First Generation            No Unknown Yes
Dorm / Off-campus      Off-campus students                         Dorm (On-campus)",White,,,Black,,,Hispanic,,,Asian,,,American Indian,,,International,,,Unknown/ Other,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,Tot,F,M,Tot,
,"3,155","3,045","6,200",146,116,262,566,565,"1,131",202,213,415,28,19,47,8,29,37,2,2,"4,107","3,987","8,094",
,29,15,44,5,2,7,4,9,13,3,6,9,,,,,3,3,,,41,35,76,
,"3,126","3,025","6,151",141,114,255,562,555,"1,117",199,207,406,28,19,47,8,25,33,2,2,"4,066","3,945","8,011",
,,3,3,,,,,1,1,,,,,,,,1,1,,,,5,5,
,,2,2,,,,,,,,,,,,,,,,,,,2,2,
,"2,985","2,840","5,825",145,110,255,532,531,"1,063",177,193,370,25,19,44,7,26,33,1,1,"3,872","3,719","7,591",
,165,197,362,1,5,6,32,30,62,21,16,37,3,,3,1,3,4,1,1,224,251,475,
,5,8,13,,1,1,2,4,6,4,4,8,,,,,,,,,11,17,28,
,"2,901","2,811","5,712",130,106,236,548,550,"1,098",194,199,393,26,18,44,,3,3,2,2,"3,801","3,687","7,488",
,79,58,137,3,4,7,3,4,7,3,6,9,,,,7,24,31,,,95,96,191,
,175,176,351,13,6,19,15,11,26,5,8,13,2,1,3,1,2,3,,,211,204,415,
,"3,017","2,898","5,915",140,110,250,560,561,"1,121",197,203,400,26,18,44,,,,2,2,"3,942","3,790","7,732",
,137,146,283,6,6,12,6,4,10,5,10,15,2,1,3,,,,,,156,167,323,
,1,1,2,,,,,,,,,,,,,8,29,37,,,9,30,39,
,175,233,408,1,2,3,14,26,40,5,9,14,2,3,5,,1,1,,,197,274,471,
,4,10,14,,,,3,1,4,,1,1,,,,,1,1,,,7,13,20,
,2,10,12,,,,,,,1,,1,,1,1,,2,2,,,3,13,16,
,"1,570","1,651","3,221",79,73,152,318,340,658,84,114,198,16,8,24,3,15,18,2,2,"2,072","2,201","4,273",
,"1,396","1,136","2,532",66,40,106,227,197,424,111,89,200,9,7,16,5,10,15,,,"1,814","1,479","3,293",
,8,5,13,,1,1,4,1,5,1,,1,1,,1,,,,,,14,7,21,
,175,233,408,1,2,3,14,26,40,5,9,14,2,3,5,,1,1,,,197,274,471,
,4,9,13,,,,3,1,4,,1,1,,,,,1,1,,,7,12,19,
,2,10,12,,,,,,,1,,1,,1,1,,2,2,,,3,13,16,
,"2,974","2,793","5,767",145,114,259,549,538,"1,087",196,203,399,26,15,41,8,25,33,2,2,"3,900","3,688","7,588",
,"1,643","1,961","3,604",62,67,129,244,289,533,127,150,277,19,11,30,8,28,36,2,2,"2,105","2,506","4,611",
,"1,512","1,084","2,596",84,49,133,322,276,598,75,63,138,9,8,17,,1,1,,,"2,002","1,481","3,483",
,"2,502","2,475","4,977",65,59,124,245,285,530,145,155,300,21,15,36,,3,3,1,1,"2,979","2,992","5,971",
,22,33,55,2,3,5,5,4,9,3,5,8,1,2,3,8,25,33,,,41,72,113,
,631,537,"1,168",79,54,133,316,276,592,54,53,107,6,2,8,,1,1,1,1,"1,087",923,"2,010",
,"1,163",987,"2,150",31,45,76,128,126,254,49,68,117,8,10,18,4,12,16,,,"1,383","1,248","2,631",
,"1,992","2,058","4,050",115,71,186,438,439,877,153,145,298,20,9,29,4,17,21,2,2,"2,724","2,739","5,463",
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,,,,,,,,,,,,,
