Fall 2007,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Other -              AGBU
Special              BIOT
Populations       ENSM
FSTC GENE MARB MARM MDSC MEPS MSEN NUTR PHLT REEP TOXI WMHS",,"1
48","100.0%
11.6%","32
25
13
17
25
2
14
9
12
24
14
18
9
12","6.7%
8.7%
-27.8%
13.3%
56.3%
100.0%
40.0%
-35.7%
140.0%
33.3%
-12.5%
0.0%
28.6%
0.0%","22
35
25
26
12
19
11","15.8%
-20.5%
-3.8%
18.2%
-14.3%
-17.4%
22.2%",,,"32
25
13
39
60
1
2
14
34
38
36
14
66
28
23","6.7%
8.7%
-27.8%
14.7%
0.0%
100.0%
100.0%
40.0%
-15.0%
40.7%
12.5%
-12.5%
8.2%
-6.7%
9.5%",
,Subtotal,49,14.0%,226,11.9%,150,-4.5%,,,425,5.7%,
Total,,"37,357",2.1%,"5,365",10.9%,"3,315",-4.0%,505,-0.8%,"46,542",2.6%,
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
