"Fall 2007
Geosciences              ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts              ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                     BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                 CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies        GEST
Subtotal
Other - Special         CLMD
Populations      COFD MARB MARS SABX SRPH
Subtotal
University                 Total",Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
5
6
1
3
6
1
9
6
37
24
3
4
1
32
29
29
104
104
349","Sophomore
1
1
2
1
2
5
1
6
2
11
2
12
2
44
17
3
1
21
9
9
47
47
268","Junior
1
3
2
11
2
4
12
10
6
51
9
5
1
15
3
3
4
4
249","Senior
1
4
7
2
7
1
4
5
2
19
8
60
8
3
11
15
15
226","PB
1
1
2","Total
1
1
1
3
3
11
21
5
25
3
13
34
5
50
22
192
59
14
6
1
80
56
56
155
155
1,094",PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,1,1,1,1,1,1,2,
,,,,,,,,1,1,,,,,3,
,,,,,,,,,,,,,,1,
,,,,,,,,1,1,,,,,1,
,,,,,,,,3,3,1,1,,,7,
,,,,,,,,,,,,,,3,
,,,,,,,,,,,,,,11,
,,,,,,,,,,2,2,,,23,
,,,,,,,,,,,,,,5,
,,,,,,,,3,3,2,2,,,30,
,,,,,,,,,,,,,,3,
,,,,,,,,,2,2,2,,,17,
,,,,,,,,3,3,2,2,,,39,
,,,,,,,,,,,,,,5,
,,,,,,,,3,3,4,4,,,57,
,,,,,,,1,8,9,10,10,,,41,
,,,,,,,3,17,20,22,22,,,234,
,,,,,,,,1,1,1,1,,,61,
,,,,,,,,3,3,,,,,17,
,,,,,,,,1,1,,,,,7,
,,,,,,,,1,1,,,,,2,
,,,,,,,1,1,2,,,,,2,
,,,,,,,1,7,8,1,1,,,89,
,,,,,,,,,,,,,,57,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,2,2,,,,,2,
,,,,,,,,3,3,1,1,1,1,61,
,,,,,,,,,,,,,,155,
,,,,,,,,,,,,,,155,
,,,,,,,,3,3,4,4,,,7,
,,,,,,,2,,2,,,,,2,
,,,,,,,2,3,5,4,4,,,9,
,,,,,,,17,139,156,162,162,1,1,"1,413",
"Prepared by OISP, 13 Nov 07",,,,,,,,,,,,,,,
