Headcount by Major by Ethnic Origin by Gender College Station Campus,,,,,,,,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,,,,,,,,
Summer 2011,,White Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Asian Only (NEW),,Native Hawaii Only (New),,American Indian Only (NEW),,International,,2 or More/Excluding Black (NEW),,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Architecture,ARCH,7,14,,,2,3,,1,,,,,10,12,,,,,19,30,49,
,COMG,1,5,,,1,1,,,,,,,3,5,,1,,,5,12,17,
,COSC,14,143,,2,5,15,,1,,,,1,,,1,1,,,20,163,183,
,COSL,5,55,,3,3,10,,,,,,,,1,,3,,,8,72,80,
,ENDL,11,7,1,,8,3,2,,,,,,1,,1,,,,24,10,34,
,ENDS,16,11,,1,4,8,,,,,,,,,1,,,,21,20,41,
,LAND,2,2,,,,,,,,,,,9,,,2,,,11,4,15,
,LANL,3,7,,1,,2,,,,,,,,,1,1,,,4,11,15,
,LDEV,3,10,,1,,1,,,,,,,,8,,,,,3,20,23,
,NUTR,,,,,,,,,,,,,1,,,,,,1,,1,
,URPL,1,1,,,,,,,,,,,2,1,,,,,3,2,5,
,URSC,1,10,,1,2,2,1,,1,,,1,3,5,,,,,8,19,27,
,USAR,3,13,,1,1,3,,1,,,,,,,,2,,,4,20,24,
,VISL,3,1,,,1,,,,,,,,,,,,,,4,1,5,
,VIST,17,26,,,4,5,,1,,,,,4,6,,,,,25,38,63,
,Subtotal,87,305,1,10,31,53,3,4,1,,,2,33,38,4,10,,,160,422,582,
Business Admin,ACCT,228,172,7,6,26,17,10,19,,,,1,6,5,3,1,,2,280,223,503,
,AGBU,1,1,,,,,,,,,,,,,,,,,1,1,2,
,BHNR,23,13,,2,1,2,1,1,,,,1,,1,,,,,25,20,45,
,BUAD,72,106,7,7,20,14,6,5,,,,,4,7,1,1,,,110,140,250,
,FINC,96,145,4,1,9,13,4,12,,1,1,,,13,3,,,,117,185,302,
,INFO,26,53,4,2,13,15,,2,,,1,,2,5,,1,,,46,78,124,
,MGMT,50,52,4,3,8,5,3,3,,1,,,2,3,2,,,,69,67,136,
,MISY,10,12,,,2,,2,3,,,,,20,29,,,,,34,44,78,
,MKTG,129,33,6,2,16,10,5,,,,,,6,5,,1,,,162,51,213,
,MLER,5,23,,,1,2,1,1,,,,,,1,,,,,7,27,34,
,USBU,27,24,2,1,4,4,1,1,1,,,,,,3,1,,,38,31,69,
,Subtotal,667,634,34,24,100,82,33,47,1,2,2,2,40,69,12,5,,2,889,867,"1,756",
Education,BIED,3,,,,6,1,,,,,,,1,,,,,,10,1,11,
,CPSY,5,4,3,2,7,3,1,1,,,,,,,1,,,,17,10,27,
,EDAD,39,29,12,10,18,10,4,,,,1,,,,1,,,1,75,50,125,
,EDCI,153,23,33,9,22,4,2,,,,1,1,14,6,3,,,2,228,45,273,
,EDHL,50,6,4,2,17,4,2,,,,,,1,,2,,,,76,12,88,
,EDIS,105,4,2,1,13,1,1,,,,,,1,,,,,,122,6,128,
,EDKI,45,36,1,1,4,4,2,2,,,,,,,3,,,,55,43,98,
,EDSM,7,18,3,9,2,4,,,,,,,1,,,1,,,13,32,45,
,EDTC,6,2,,,2,2,,,,,,,4,2,1,,,,13,6,19,
,EHRD,35,19,7,3,16,2,3,1,,,,,4,3,1,1,1,,67,29,96,
,EPSY,27,4,3,1,10,3,2,,,,,,17,3,1,1,1,,61,12,73,
,HEED,13,1,4,2,3,1,1,,,,,,2,1,1,,,,24,5,29,
,HLTH,105,11,6,,17,3,4,2,,,4,,,,1,,,,137,16,153,
,HRDL,34,9,4,5,8,4,1,,,,,,,,,,,,47,18,65,
,HRDV,64,27,1,2,10,3,3,3,,,,,,1,1,,,,79,36,115,
,INST,223,9,4,,39,4,4,,,,1,,1,,3,,1,,276,13,289,
,KINE,90,85,6,3,14,16,1,5,,,,1,5,15,2,,,,118,125,243,
,NUTR,2,,,,,,,,,,,,1,,,,,,3,,3,
,PHED,,1,,,,,,,,,,,,,,,,,,1,1,
,SPED,11,1,2,,2,,1,,,,,,,,,,,,16,1,17,
,SPMT,40,94,4,9,8,6,1,2,,,,,1,,1,3,,,55,114,169,
,SPSY,18,2,2,,8,1,3,,,,,,1,,,,,,32,3,35,
,TCMG,,22,,,2,7,,3,,,,,,,1,,,,3,32,35,
,TCML,2,15,1,,5,6,1,2,,,,,,,,,,,9,23,32,
,TECR,1,,,,,,,,,,,,,,,,,,1,,1,
,USEH,3,,,,,,,,,,,,,,,,,,3,,3,
,Subtotal,"1,081",422,102,59,233,89,37,21,,,7,2,54,31,23,6,3,3,"1,540",633,"2,173",
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,,,,,,,,
