Ethnicity 2 or More/Excluding Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Engineering,PETL,,,,,,,,,,,,,,,
,RHEL,,,1,,,1,,,,,,,,1,
,RHEN,,,1,,,1,,,,,,,,1,
,SENG,,,,,,,,,,,,,,,
,USEN,,,,,,,,,,,,,,,
,Subtotal,2,4,13,15,1,35,,10,10,2,2,,,47,
G. Bush School of Govt,CAIA,,,,,,,,,,,,,,,
,CHLS,,,,,,,1,,1,,,,,1,
,CNPM,,,,,,,,,,,,,,,
,CNSA,,,,,,,,,,,,,,,
,INTA,,,,,,,,,,,,,,,
,PSAA,,,,,,,,,,,,,,,
,Subtotal,,,,,,,1,,1,,,,,1,
Geosciences,ATMO,,,,,,,,,,,,,,,
,ENGS,,,,,,,,,,,,,,,
,ENST,,,,1,,1,,,,,,,,1,
,GEOG,,,,,,,,,,1,1,,,1,
,GEOL,1,,1,,,2,,,,,,,,2,
,GEOP,,,,,,,,,,,,,,,
,GEOS,,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,,
,METR,,1,,,,1,,,,,,,,1,
,OCNG,,,,,,,,,,,,,,,
,USGE,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,1,1,1,1,,4,,,,1,1,,,5,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
