Headcount by Major by Level by Entry Status College Station Campus,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,Masters,,,,PhD,,,Professional,Total,
,,1st Time in College,1st Time Transfer,Readmitted,Continuing,1st Time PB,1st Time Graduate,Readmitted,Continuing,1st Time Graduate,Readmitted,Continuing,Continuing,,
Engineering,AERL,3,,,48,,,,,,,,,51,
,AERO,,,,117,,,,48,6,,52,,223,
,BIOT,,,,,,,,2,,,,,2,
,BMEL,1,,,43,,,,,,,,,44,
,BMEN,,,,78,,3,,24,4,,37,,146,
,CECL,,,,18,,,,,,,,,18,
,CECN,,,,49,1,1,,19,3,,21,,94,
,CEEL,,,,12,,,,,,,,,12,
,CEEN,,,,22,,,,23,1,,17,,63,
,CHEL,,2,,40,,,,,,,,,42,
,CHEN,,,,191,,,,27,6,,65,,289,
,CPSC,,,,57,,,,93,,,57,,207,
,CPSL,1,1,1,44,,,,,,,,,47,
,CVEL,4,1,1,32,,,,,,,,,38,
,CVEN,,,,248,,1,,85,7,,93,,434,
,ELEL,9,4,1,71,,,,,,,,,85,
,ELEN,,,,147,,1,,82,7,1,135,,373,
,ENGR,,,,,,,,,,,6,,6,
,ENSM,,,,,,,,11,,,,,11,
,ENTC,,,,75,,,,,,,,,75,
,ENTL,1,,2,39,,,,,,,,,42,
,HLPH,,,,,,,,7,,,,,7,
,IDIL,,2,1,37,,,,,,,,,40,
,IDIS,,1,,129,,,,,,,,,130,
,INEL,2,1,,55,,,,,,,,,58,
,INEN,,,,229,,5,,82,4,,43,,363,
,ITDE,,,,,,,,,,,2,,2,
,MEEL,8,5,,32,,,,,,,,,45,
,MEEN,,,,243,,6,,80,8,1,141,,479,
,MSEN,,,,,,1,,11,3,,49,,64,
,NUEL,1,,,14,,,,,,,,,15,
,NUEN,,,,69,,,,42,2,,32,,145,
,OCEL,1,,1,9,,,,,,,,,11,
,OCEN,,,1,43,,,,14,1,,11,,70,
,PETE,,,,19,,13,,127,,,85,,244,
,PETL,2,,2,62,,,,,,,,,66,
,RHEL,,,,4,,,,,,,,,4,
,RHEN,,,,23,,,,,,,,,23,
,SENG,,,,,,,,7,,,,,7,
,USEN,,,,6,,,,,,,,,6,
,Subtotal,33,17,10,"2,305",1,31,,784,52,2,846,,"4,081",
G. Bush School of Govt,CAIA,,,,,19,,,13,,,,,32,
,CHLS,,,,,7,,,14,,,,,21,
,CNPM,,,,,8,,,10,,,,,18,
,CNSA,,,,,7,,,,,,,,7,
,INTA,,,,,,1,,10,,,,,11,
,PSAA,,,,,,,,13,,,,,13,
,Subtotal,,,,,41,1,,60,,,,,102,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,
