Headcount by Major by Level College Station Campus Summer 2011,,,,,,,
Summer 2011,,Undergraduate,Masters,PhD,Professional,Total,
Engineering,Subtotal,"2,365",816,900,,"4,081",
G. Bush School of Govt,CAIA,,32,,,32,
,CHLS,,21,,,21,
,CNPM,,18,,,18,
,CNSA,,7,,,7,
,INTA,,11,,,11,
,PSAA,,13,,,13,
,Subtotal,,102,,,102,
Geosciences,ATMO,,25,24,,49,
,ENGS,45,,,,45,
,ENST,42,,,,42,
,GEOG,36,7,15,,58,
,GEOL,75,24,14,,113,
,GEOP,14,7,9,,30,
,GEOS,,1,,,1,
,MARB,,1,,,1,
,METR,23,,,,23,
,OCNG,,25,38,,63,
,USGE,1,,,,1,
,WMHS,,2,4,,6,
,Subtotal,236,92,104,,432,
"Prepared by OISP, 11 Aug 11",,,,,,,
