Ethnicity White Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Science,APHY,,,,,,,,,,3,3,,,3,
,APMS,,1,13,18,,32,,,,,,,,32,
,BIOL,9,8,29,88,7,141,,2,2,13,13,,,156,
,BMCB,,1,4,7,,12,,,,,,,,12,
,BOTN,,,,,,,,,,,,,,,
,CHEM,,2,15,16,1,34,,21,21,74,74,,,129,
,GENE,,,,,,,,,,1,1,,,1,
,MATH,3,1,8,16,,28,1,24,25,16,16,,,69,
,MBIO,1,1,4,12,,18,,1,1,3,3,,,22,
,MEPS,,,,,,,,,,,,,,,
,MSEN,,,,,,,,,,,,,,,
,PHYS,4,6,2,13,,25,,15,15,36,36,,,76,
,STAT,,,,,,,12,31,43,9,9,,,52,
,USSC,,,4,8,,12,,,,,,,,12,
,ZOOL,1,1,3,8,,13,,1,1,3,3,,,17,
,Subtotal,18,21,82,186,8,315,13,95,108,158,158,,,581,
Veterinary Medicine,BIMS,5,16,52,143,,216,,14,14,10,10,,,240,
,BIOT,,,,,,,,,,,,,,,
,GENE,,,,,,,,1,1,5,5,,,6,
,LAMD,,,,,,,,2,2,,,,,2,
,STJR,,,,,,,,1,1,,,,,1,
,TOXI,,,,,,,,3,3,6,6,,,9,
,USVM,,,,,,,,,,,,,,,
,VPAT,,,,,,,,1,1,8,8,,,9,
,VPHY,,,,,,,,,,1,1,,,1,
,VTMD,,,,,,,,,,,,128,128,128,
,VTMI,,,,,,,,,,4,4,,,4,
,VTPH,,,,,,,,,,,,,,,
,Subtotal,5,16,52,143,,216,,22,22,34,34,128,128,400,
General Studies,GEST,246,214,49,,,509,,,,,,,,509,
,TEAM,16,46,24,,,86,,,,,,,,86,
,Subtotal,262,260,73,,,595,,,,,,,,595,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
