Ethnicity White Only (NEW),,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,AGEC,3,27,116,139,,285,,26,26,7,7,,,318,
,ALEC,2,29,123,227,2,383,,54,54,31,31,,,468,
,ANSC,5,12,63,103,5,188,1,47,48,22,22,,,258,
,BAEN,1,11,17,45,1,75,,16,16,1,1,,,92,
,BCBP,2,1,7,20,8,38,,20,20,40,40,,,98,
,CLAG,,1,12,6,,19,,,,,,,,19,
,ENTO,,2,11,15,1,29,,10,10,16,16,,,55,
,ESSM,,,23,21,,44,1,20,21,10,10,,,75,
,HRSC,,3,18,25,,46,,9,9,2,2,,,57,
,NFSC,2,5,26,96,4,133,,16,16,8,8,,,157,
,PLPM,,5,21,38,,64,,3,3,6,6,,,73,
,POSC,1,1,14,20,,36,,14,14,1,1,,,51,
,RPTS,,7,48,98,,153,,5,5,6,6,,,164,
,SCSC,,4,16,23,,43,,33,33,20,20,,,96,
,WFSC,,6,15,36,,57,3,16,19,14,14,,,90,
,Subtotal,16,114,530,912,21,"1,593",5,289,294,184,184,,,"2,071",
Architecture,ARCH,2,12,7,24,,45,,18,18,3,3,,,66,
,CLAR,,1,4,11,,16,,,,,,,,16,
,COSC,3,22,58,133,1,217,,6,6,,,,,223,
,LAUP,,3,11,8,,22,,16,16,2,2,,,40,
,VIZA,,3,7,13,,23,,24,24,,,,,47,
,Subtotal,5,41,87,189,1,323,,64,64,5,5,,,392,
Business Admin,ACCT,,7,108,200,,315,,69,69,16,16,,,400,
,CLBA,18,63,124,49,,254,,13,13,,,,,267,
,FINC,,2,59,110,,171,,95,95,3,3,,,269,
,INFO,,,32,47,,79,,22,22,,,,,101,
,MGMT,,,19,65,,84,,8,8,10,10,,,102,
,MKTG,,1,37,93,,131,,28,28,3,3,,,162,
,Subtotal,18,73,379,564,,"1,034",,235,235,32,32,,,"1,301",
Education,CLED,,1,,2,,3,,,,,,,,3,
,EAHR,1,7,35,130,,173,1,42,43,79,79,,,295,
,EPSY,1,5,22,34,,62,1,44,45,38,38,,,145,
,HLKN,5,35,149,340,,529,,43,43,32,32,,,604,
,TLAC,1,14,77,186,2,280,5,117,122,54,54,,,456,
,Subtotal,8,62,283,692,2,"1,047",7,246,253,203,203,,,"1,503",
Engineering,AERO,10,12,24,69,,115,,30,30,26,26,,,171,
,BMEN,2,13,23,30,1,69,,14,14,17,17,,,100,
,CHEN,3,8,40,83,,134,,6,6,12,12,,,152,
,CLEN,,,,1,,1,,,,3,3,,,4,
,CSCE,1,12,32,61,1,107,,16,16,14,14,,,137,
,CVEN,4,21,75,132,,232,,41,41,18,18,,,291,
,ECEN,13,19,39,54,2,127,,10,10,17,17,,,154,
,ETID,,18,65,124,2,209,,,,,,,,209,
,ISEN,2,16,50,95,1,164,,20,20,5,5,,,189,
,MEEN,6,24,52,117,1,200,,31,31,33,33,,,264,
,NUEN,,14,24,35,,73,,30,30,15,15,,,118,
,PETE,3,9,23,19,1,55,,30,30,6,6,,,91,
,Subtotal,44,166,447,820,9,"1,486",,228,228,166,166,,,"1,880",
G. Bush School of Govt,BUSH,,,,,,,60,15,75,,,,,75,
,Subtotal,,,,,,,60,15,75,,,,,75,
Geosciences,ATMO,3,1,5,8,,17,,21,21,6,6,,,44,
,CLGE,,3,7,28,1,39,,,,,,,,39,
,GEOG,,1,15,46,,62,,7,7,8,8,,,77,
,GEPL,3,2,11,30,2,48,1,13,14,7,7,,,69,
,OCNG,,,,,,,,17,17,17,17,,,34,
,Subtotal,6,7,38,112,3,166,1,58,59,38,38,,,263,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
