Top 10,,,,,,,,,
Summer 2011 Feeder Patterns,,,,,,,,,
Texas A&M University (College Station Campus),,,,,,,,,
Country,,,Students  % Total,,,,,,
United States,,,14869,,,,86.1%,,
"China, People's Rep of",,,628,,,,3.6%,,
India,,,509,,,,2.9%,,
"Korea, Republic of",,,232,,,,1.3%,,
Taiwan,,,115,,,,0.7%,,
Iran,,,86,,,,0.5%,,
Mexico,,,75,,,,0.4%,,
Turkey,,,65,,,,0.4%,,
Colombia,,,37,,,,0.2%,,
Saudi Arabia,,,35,,,,0.2%,,
Texas County   Students  % Total,,,,,,,,,
Harris,,2583,,,15.0%,,,,
Brazos,,1131,,,6.6%,,,,
Bexar,,772,,,4.5%,,,,
Tarrant,,720,,,4.2%,,,,
Dallas,,712,,,4.1%,,,,
Fort Bend,,661,,,3.8%,,,,
Travis,,493,,,2.9%,,,,
Montgomery,,468,,,2.7%,,,,
Collin,,456,,,2.6%,,,,
Williamson,,304,,,1.8%,,,,
State,Students  % Total,,,,,,,,
Texas,13607,,,78.8%,,,,,
California,144,,,0.8%,,,,,
Florida,74,,,0.4%,,,,,
Louisiana,74,,,0.4%,,,,,
New York,56,,,0.3%,,,,,
Illinois,53,,,0.3%,,,,,
Pennsylvania,51,,,0.3%,,,,,
Missouri,46,,,0.3%,,,,,
Ohio,44,,,0.3%,,,,,
Colorado,40,,,0.2%,,,,,
