Demographic Summary Galveston Campus,,,,,,,,,,,,
(Not included in University Total Enrollment) Summer 2011,,,,,,,,,,,,
Summer 2011,,Student Level,,,,,,,,,Grand Total,
,,G7,G8,G9,U0,U1,U2,U3,U4,U5,,
Head Count Total,,23,13,1,1,176,139,145,288,8,794,
Gender,Female,13,9,,,58,38,47,87,2,254,
,Male,10,4,1,1,118,101,98,201,6,540,
Ethnicity,White Only (NEW),21,9,,1,129,107,111,218,7,603,
,Black Only + 2 or more/1 Black (NEW),,,,,7,6,5,9,1,28,
,Hispanic or Latino of any Race (NEW),1,1,,,33,18,16,42,,111,
,Asian Only (NEW),,,,,3,2,3,4,,12,
,Native Hawaii Only (New),,,,,,,,2,,2,
,American Indian Only (NEW),,,,,,2,2,4,,8,
,International,1,3,1,,,,3,1,,9,
,2 or More/Excluding Black (NEW),,,,,4,4,4,4,,16,
,Unknown or Not Reported,,,,,,,1,4,,5,
Academic Major,ACCT,,,,,,,1,,,1,
,ANTH,1,,1,,,,,,1,3,
,BIMS,,,,,,,1,,,1,
,BMEL,,,,,1,,,,,1,
,BMEN,,,,,,,1,,,1,
,BUAD,,,,,,1,2,,,3,
,GACD,,,,1,71,25,1,7,,105,
,GEST,,,,,1,1,1,,,3,
,MARA,,,,,14,31,32,51,,128,
,MARB,7,8,,,32,25,25,54,2,153,
,MARF,,,,,3,,1,2,,6,
,MARM,11,,,,,,,,,11,
,MARR,,,,,13,14,17,41,1,86,
,MARS,,,,,2,4,2,6,,14,
,MART,,,,,23,26,35,70,3,157,
,MASE,,,,,11,3,13,33,,60,
,MAST,,,,,,5,7,9,,21,
,MEEL,,,,,,1,,,,1,
,OCRE,,,,,2,2,6,11,,21,
,RLEM,,1,,,,,,,,1,
,SOCI,,,,,,1,,,,1,
,TEAM,,,,,2,,,,,2,
,USBU,,,,,,,,1,,1,
,USGA,,,,,1,,,3,,4,
,WFSC,4,4,,,,,,,,8,
,ZOOL,,,,,,,,,1,1,
Enrollment Status,Continuing,22,10,1,1,67,133,141,284,8,667,
,1st Time In College,,,,,109,1,,,,110,
,1st Time Graduate,1,3,,,,,,,,4,
,Readmitted,,,,,,1,1,3,,5,
,1st Time Transfer,,,,,,4,3,1,,8,
SCH Categories,< 6 SCH,10,1,1,,74,61,72,137,5,361,
,6-8 SCH,13,12,,1,93,56,45,105,3,328,
,9-11 SCH,,,,,3,13,23,27,,66,
,12-14 SCH,,,,,6,9,5,14,,34,
,15-17 SCH,,,,,,,,2,,2,
,>17 SCH,,,,,,,,3,,3,
TAMU Age Categories,18-21,,,,,171,110,88,53,1,423,
,22-25,10,,,,5,17,47,160,3,242,
,26-30,9,7,,,,7,3,54,3,83,
,31-39,1,5,1,1,,3,6,9,1,27,
,40+,3,1,,,,2,1,12,,19,
ft/pt: TAMU Status,Full-Time,13,12,,1,12,25,27,52,,142,
,Half-Time,6,1,,,157,86,97,172,5,524,
,Less Than Half-Time,4,,1,,7,28,21,64,3,128,
Top 10% Texas High School,No,21,12,1,1,172,133,137,264,7,748,
,Yes,2,1,,,4,6,8,24,1,46,
First Generation,No,14,8,,1,130,93,92,168,4,510,
,Unknown,3,4,1,,9,8,8,14,3,50,
,Yes,6,1,,,37,38,45,106,1,234,
"Prepared by OISP, 08 Aug 11",,,,,,,,,,,,
