Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Engineering,PETL,1,,1,,,2,,,,,,,,2,
,RHEL,,,,,,,,,,,,,,,
,RHEN,,,,,,,,,,,,,,,
,SENG,,,,,,,,,,,,,,,
,USEN,,,,,,,,,,,,,,,
,Subtotal,5,11,24,42,,82,,13,13,14,14,,,109,
G. Bush School of Govt,CAIA,,,,,,,2,,2,,,,,2,
,CHLS,,,,,,,,,,,,,,,
,CNPM,,,,,,,3,,3,,,,,3,
,CNSA,,,,,,,,,,,,,,,
,INTA,,,,,,,,,,,,,,,
,PSAA,,,,,,,,1,1,,,,,1,
,Subtotal,,,,,,,5,1,6,,,,,6,
Geosciences,ATMO,,,,,,,,,,,,,,,
,ENGS,,,,1,,1,,,,,,,,1,
,ENST,,,1,,,1,,,,,,,,1,
,GEOG,,,,,,,,,,1,1,,,1,
,GEOL,1,,,4,,5,,2,2,,,,,7,
,GEOP,,,,1,,1,,,,,,,,1,
,GEOS,,,,,,,,,,,,,,,
,MARB,,,,,,,,,,,,,,,
,METR,,,,,,,,,,,,,,,
,OCNG,,,,,,,,1,1,,,,,1,
,USGE,,,,,,,,,,,,,,,
,WMHS,,,,,,,,,,,,,,,
,Subtotal,1,,1,6,,8,,3,3,1,1,,,12,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
