Headcount by Major by Ethnic Origin College Station Campus,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,
Summer 2011,,White Only (NEW),Black Only + 2 or more/1 Black (NEW),Hispanic or Latino of any Race (NEW),Asian Only (NEW),Native Hawaii Only (New),American Indian Only (NEW),International,2 or More/Excluding Black (NEW),Unknown or Not Reported,Total,
Engineering,AERL,29,1,8,4,,,2,,7,51,
,AERO,141,3,26,7,,,42,3,1,223,
,BIOT,1,,,,,,1,,,2,
,BMEL,21,4,6,4,,,,,9,44,
,BMEN,77,2,20,12,,,31,4,,146,
,CECL,11,1,5,1,,,,,,18,
,CECN,31,3,9,5,,1,44,1,,94,
,CEEL,5,1,3,2,,,1,,,12,
,CEEN,12,1,5,1,,,43,1,,63,
,CHEL,19,,4,2,,1,3,1,12,42,
,CHEN,131,7,31,23,,,89,7,1,289,
,CPSC,71,5,12,4,1,,113,1,,207,
,CPSL,24,2,7,3,,,2,1,8,47,
,CVEL,17,1,7,,,,1,2,10,38,
,CVEN,222,12,50,13,1,,130,5,1,434,
,ELEL,46,,18,8,,,4,1,8,85,
,ELEN,91,9,31,27,,,209,5,1,373,
,ENGR,2,,2,1,,,1,,,6,
,ENSM,5,1,1,1,,,3,,,11,
,ENTC,52,1,14,5,,,3,,,75,
,ENTL,27,3,9,2,,,,1,,42,
,HLPH,6,,,1,,,,,,7,
,IDIL,28,1,7,2,,1,,1,,40,
,IDIS,102,7,15,3,,,2,1,,130,
,INEL,27,4,13,3,,,9,1,1,58,
,INEN,157,15,63,17,1,1,108,1,,363,
,ITDE,1,,,1,,,,,,2,
,MEEL,23,2,6,3,,,2,2,7,45,
,MEEN,233,11,52,22,,2,157,2,,479,
,MSEN,12,1,2,1,,,47,1,,64,
,NUEL,9,,4,1,,,1,,,15,
,NUEN,85,3,15,4,,,35,2,1,145,
,OCEL,10,,,,,,,1,,11,
,OCEN,42,1,8,,,,19,,,70,
,PETE,45,5,11,8,,,169,,6,244,
,PETL,46,2,7,7,,,4,,,66,
,RHEL,2,,1,,,,,1,,4,
,RHEN,16,,2,2,1,1,,1,,23,
,SENG,,,,,,,7,,,7,
,USEN,1,,,,,,,,5,6,
,,"1,880",109,474,200,4,7,"1,282",47,78,"4,081",
G. Bush School of Govt,CAIA,27,2,2,,,,,,1,32,
,CHLS,15,,4,,,1,,1,,21,
,CNPM,12,3,3,,,,,,,18,
,CNSA,6,,,,,,,,1,7,
,INTA,9,,,2,,,,,,11,
,PSAA,6,1,6,,,,,,,13,
,,75,6,15,2,,1,,1,2,102,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,
