Headcount by Department by Level College Station Campus,,,,,,,
Summer 2011,,,,,,,
Summer 2011,,Undergraduate,Masters,PhD,Professional,Total,
G. Bush School of Govt,BUSH,,102,,,102,
,Subtotal,,102,,,102,
Geosciences,ATMO,23,25,24,,72,
,CLGE,46,,,,46,
,GEOG,78,8,18,,104,
,GEPL,89,33,24,,146,
,OCNG,,26,38,,64,
,Subtotal,236,92,104,,432,
Liberal Arts,ANTH,44,5,13,,62,
,CLLA,244,,,,244,
,COMM,256,9,24,,289,
,ECON,214,6,15,,235,
,ENGL,188,5,29,,222,
,EURO,16,,,,16,
,HISP,35,8,19,,62,
,HIST,222,3,9,,234,
,PHUM,20,,1,,21,
,POLS,214,10,33,,257,
,PRFM,18,,,,18,
,PSYC,422,29,55,,506,
,SOCI,198,14,28,,240,
,Subtotal,"2,091",89,226,,"2,406",
Science,BIOL,322,9,37,,368,
,CHEM,68,55,202,,325,
,CLSC,13,,,,13,
,MATH,90,42,67,,199,
,PHYS,47,40,106,,193,
,STAT,,74,45,,119,
,Subtotal,540,220,457,,"1,217",
Veterinary Medicine,CLVM,328,5,5,146,484,
,VIBS,,14,19,,33,
,VLCS,,5,,,5,
,VSCS,,,5,,5,
,VTPB,,13,23,,36,
,VTPP,,10,16,,26,
,Subtotal,328,47,68,146,589,
General Studies,GEST,928,,,,928,
,Subtotal,928,,,,928,
Other - Special Populations,CLMD,,2,,,2,
,ECEN,1,,,,1,
,MARB,3,1,,,4,
,MARS,1,,1,,2,
,MASE,2,,,,2,
,MEEN,3,,,,3,
,PETE,2,,,,2,
,SRPH,,14,,,14,
,Subtotal,12,17,1,,30,
Total,,11724,2681,2715,146,17266,
"Prepared by OISP, 11 Aug 11",,,,,,,
