Ethnicity Asian Only (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Education,USEH,,,,,,,,,,,,,,,
,Subtotal,1,2,8,22,1,34,,8,8,16,16,,,58,
Engineering,AERL,,3,1,,,4,,,,,,,,4,
,AERO,,,2,3,,5,,1,1,1,1,,,7,
,BIOT,,,,,,,,,,,,,,,
,BMEL,,2,2,,,4,,,,,,,,4,
,BMEN,,,2,5,,7,,3,3,2,2,,,12,
,CECL,,1,,,,1,,,,,,,,1,
,CECN,,,2,1,,3,1,1,2,,,,,5,
,CEEL,,1,,1,,2,,,,,,,,2,
,CEEN,,,,1,,1,,,,,,,,1,
,CHEL,,1,1,,,2,,,,,,,,2,
,CHEN,,1,7,14,,22,,1,1,,,,,23,
,CPSC,,,,1,,1,,2,2,1,1,,,4,
,CPSL,1,1,1,,,3,,,,,,,,3,
,CVEL,,,,,,,,,,,,,,,
,CVEN,,1,3,5,,9,,2,2,2,2,,,13,
,ELEL,2,1,4,1,,8,,,,,,,,8,
,ELEN,,2,2,16,,20,,2,2,5,5,,,27,
,ENGR,,,,,,,,,,1,1,,,1,
,ENSM,,,,,,,,1,1,,,,,1,
,ENTC,,,,5,,5,,,,,,,,5,
,ENTL,,,,2,,2,,,,,,,,2,
,HLPH,,,,,,,,1,1,,,,,1,
,IDIL,,2,,,,2,,,,,,,,2,
,IDIS,,,,3,,3,,,,,,,,3,
,INEL,,1,1,1,,3,,,,,,,,3,
,INEN,,,2,12,,14,,2,2,1,1,,,17,
,ITDE,,,,,,,,,,1,1,,,1,
,MEEL,1,,,2,,3,,,,,,,,3,
,MEEN,,1,3,9,,13,,6,6,3,3,,,22,
,MSEN,,,,,,,,,,1,1,,,1,
,NUEL,,,1,,,1,,,,,,,,1,
,NUEN,,,,2,,2,,1,1,1,1,,,4,
,OCEL,,,,,,,,,,,,,,,
,OCEN,,,,,,,,,,,,,,,
,PETE,,,1,1,,2,,5,5,1,1,,,8,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
