Ethnicity Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Headcount by Department by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Agriculture,AGEC,,2,14,12,,28,,3,3,1,1,,,32,
,ALEC,,2,7,39,,48,,2,2,2,2,,,52,
,ANSC,,4,7,13,1,25,,3,3,1,1,,,29,
,BAEN,,,6,7,,13,,2,2,,,,,15,
,BCBP,,,,4,,4,,2,2,8,8,,,14,
,CLAG,,,1,1,,2,,,,,,,,2,
,ENTO,,,2,6,,8,,3,3,2,2,,,13,
,ESSM,,3,4,2,,9,,1,1,7,7,,,17,
,HRSC,,1,3,5,,9,,,,1,1,,,10,
,NFSC,,1,3,25,1,30,,1,1,1,1,,,32,
,PLPM,,,6,19,,25,,2,2,6,6,,,33,
,POSC,,1,2,7,,10,,4,4,,,,,14,
,RPTS,,,3,13,,16,,3,3,,,,,19,
,SCSC,,2,3,3,,8,,2,2,1,1,,,11,
,WFSC,,1,7,12,,20,,8,8,8,8,,,36,
,Subtotal,,17,68,168,2,255,,36,36,38,38,,,329,
Architecture,ARCH,,5,9,9,,23,,4,4,1,1,,,28,
,CLAR,,,1,3,,4,,,,,,,,4,
,COSC,,5,7,21,,33,,2,2,,,,,35,
,LAUP,,1,3,2,,6,,1,1,,,,,7,
,VIZA,,,4,2,,6,,4,4,,,,,10,
,Subtotal,,11,24,37,,72,,11,11,1,1,,,84,
Business Admin,ACCT,,1,12,26,,39,,4,4,,,,,43,
,CLBA,1,9,27,6,,43,,2,2,,,,,45,
,FINC,,,6,11,,17,,7,7,1,1,,,25,
,INFO,,1,8,19,,28,,2,2,,,,,30,
,MGMT,,,2,10,,12,,1,1,,,,,13,
,MKTG,,,5,16,,21,,5,5,,,,,26,
,Subtotal,1,11,60,88,,160,,21,21,1,1,,,182,
Education,CLED,,,,,,,,,,,,,,,
,EAHR,,,16,29,,45,,13,13,33,33,,,91,
,EPSY,,,4,18,,22,,19,19,26,26,,,67,
,HLKN,1,5,32,52,1,91,,7,7,5,5,,,103,
,TLAC,,4,10,21,,35,,18,18,8,8,,,61,
,Subtotal,1,9,62,120,1,193,,57,57,72,72,,,322,
Engineering,AERO,2,6,5,15,,28,,2,2,4,4,,,34,
,BMEN,1,3,6,12,,22,,1,1,3,3,,,26,
,CHEN,1,2,12,16,,31,,,,4,4,,,35,
,CLEN,,,,,,,,,,2,2,,,2,
,CSCE,1,4,10,13,,28,,3,3,2,2,,,33,
,CVEN,3,4,13,34,1,55,,10,10,,,,,65,
,ECEN,4,8,12,28,2,54,,3,3,,,,,57,
,ETID,2,5,10,28,,45,,,,,,,,45,
,ISEN,1,2,17,46,1,67,,9,9,1,1,,,77,
,MEEN,3,1,9,27,1,41,,12,12,7,7,,,60,
,NUEN,2,2,2,12,,18,,3,3,1,1,,,22,
,PETE,,,6,4,,10,,7,7,1,1,,,18,
,Subtotal,20,37,102,235,5,399,,50,50,25,25,,,474,
G. Bush School of Govt,BUSH,,,,,,,9,6,15,,,,,15,
,Subtotal,,,,,,,9,6,15,,,,,15,
Geosciences,ATMO,,,1,3,,4,,1,1,,,,,5,
,CLGE,1,,1,3,,5,,,,,,,,5,
,GEOG,2,1,2,9,,14,,1,1,1,1,,,16,
,GEPL,6,,3,8,,17,,2,2,,,,,19,
,OCNG,,,,,,,,2,2,,,,,2,
,Subtotal,9,1,7,23,,40,,6,6,1,1,,,47,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
