Ethnicity Hispanic or Latino of any Race (NEW),,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Liberal Arts,AMST,,,,,,,,,,,,,,,
,ANTH,1,2,3,6,,12,,,,,,,,12,
,CLSS,,,1,,,1,,,,,,,,1,
,COMM,1,5,8,14,,28,,,,4,4,,,32,
,ECON,,4,8,19,,31,,,,,,,,31,
,ENGL,,4,8,13,,25,,,,6,6,,,31,
,FREN,,,,,,,,,,,,,,,
,GERM,,,,,,,,,,,,,,,
,HISP,,,,,,,,5,5,9,9,,,14,
,HIST,,6,13,23,,42,,,,,,,,42,
,INTS,,7,14,38,,59,,,,,,,,59,
,MODL,,,,,,,,1,1,,,,,1,
,MUSC,1,,,1,,2,,,,,,,,2,
,NRSC,,,,,,,,1,1,,,,,1,
,NUTR,,,,,,,,,,,,,,,
,PHIL,,,,1,,1,,,,,,,,1,
,POLS,2,6,5,15,,28,,,,3,3,,,31,
,PSYC,,6,29,53,,88,,1,1,11,11,,,100,
,RUSS,,,1,,,1,,,,,,,,1,
,SOCI,1,5,15,28,,49,,7,7,10,10,,,66,
,SPAN,,1,3,11,1,16,,,,,,,,16,
,TCMS,,1,1,1,,3,,,,,,,,3,
,THAR,,1,2,1,,4,,,,,,,,4,
,USLA,,,,1,,1,,,,,,,,1,
,WGST,,,,,,,,,,,,,,,
,Subtotal,6,48,111,225,1,391,,15,15,43,43,,,449,
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
