Top 10,,,,,,,,,
Summer 2011  Feeder Patterns Undergraduate Transfer (College Station Campus),,,,,,,,,
Country,,,Students  % Total,,,,,,
United States,,,157,,,,93.5%,,
Venezuela,,,1,,,,0.6%,,
United Kingdom,,,1,,,,0.6%,,
Nicaragua,,,1,,,,0.6%,,
Malaysia,,,1,,,,0.6%,,
Kenya,,,1,,,,0.6%,,
"China, People's Rep of",,,1,,,,0.6%,,
Canada,,,1,,,,0.6%,,
Brazil,,,1,,,,0.6%,,
Bolivia,,,1,,,,0.0%,,
Texas County   Students  % Total,,,,,,,,,
Brazos,,34,,,20.2%,,,,
Harris,,24,,,14.3%,,,,
Denton,,9,,,5.4%,,,,
Travis,,8,,,4.8%,,,,
Fort Bend,,6,,,3.6%,,,,
Montgomery,,6,,,3.6%,,,,
Dallas,,5,,,3.0%,,,,
Tarrant,,4,,,2.4%,,,,
Collin,,3,,,1.8%,,,,
Ellis,,3,,,1.8%,,,,
State,Students  % Total,,,,,,,,
Texas,153,,,91.1%,,,,,
Oregon,1,,,0.6%,,,,,
New Mexico,1,,,0.6%,,,,,
California,1,,,0.6%,,,,,
Arkansas,1,,,0.6%,,,,,
