Headcount by Major by Ethnic Origin College Station Campus,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,
Summer 2011,,White Only (NEW),Black Only + 2 or more/1 Black (NEW),Hispanic or Latino of any Race (NEW),Asian Only (NEW),Native Hawaii Only (New),American Indian Only (NEW),International,2 or More/Excluding Black (NEW),Unknown or Not Reported,Total,
Architecture,ARCH,21,,5,1,,,22,,,49,
,COMG,6,,2,,,,8,1,,17,
,COSC,157,2,20,1,,1,,2,,183,
,COSL,60,3,13,,,,1,3,,80,
,ENDL,18,1,11,2,,,1,1,,34,
,ENDS,27,1,12,,,,,1,,41,
,LAND,4,,,,,,9,2,,15,
,LANL,10,1,2,,,,,2,,15,
,LDEV,13,1,1,,,,8,,,23,
,NUTR,,,,,,,1,,,1,
,URPL,2,,,,,,3,,,5,
,URSC,11,1,4,1,1,1,8,,,27,
,USAR,16,1,4,1,,,,2,,24,
,VISL,4,,1,,,,,,,5,
,VIST,43,,9,1,,,10,,,63,
,,392,11,84,7,1,2,71,14,,582,
Business Admin,ACCT,400,13,43,29,,1,11,4,2,503,
,AGBU,2,,,,,,,,,2,
,BHNR,36,2,3,2,,1,1,,,45,
,BUAD,178,14,34,11,,,11,2,,250,
,FINC,241,5,22,16,1,1,13,3,,302,
,INFO,79,6,28,2,,1,7,1,,124,
,MGMT,102,7,13,6,1,,5,2,,136,
,MISY,22,,2,5,,,49,,,78,
,MKTG,162,8,26,5,,,11,1,,213,
,MLER,28,,3,2,,,1,,,34,
,USBU,51,3,8,2,1,,,4,,69,
,,"1,301",58,182,80,3,4,109,17,2,"1,756",
Education,BIED,3,,7,,,,1,,,11,
,CPSY,9,5,10,2,,,,1,,27,
,EDAD,68,22,28,4,,1,,1,1,125,
,EDCI,176,42,26,2,,2,20,3,2,273,
,EDHL,56,6,21,2,,,1,2,,88,
,EDIS,109,3,14,1,,,1,,,128,
,EDKI,81,2,8,4,,,,3,,98,
,EDSM,25,12,6,,,,1,1,,45,
,EDTC,8,,4,,,,6,1,,19,
,EHRD,54,10,18,4,,,7,2,1,96,
,EPSY,31,4,13,2,,,20,2,1,73,
,HEED,14,6,4,1,,,3,1,,29,
,HLTH,116,6,20,6,,4,,1,,153,
,HRDL,43,9,12,1,,,,,,65,
,HRDV,91,3,13,6,,,1,1,,115,
,INST,232,4,43,4,,1,1,3,1,289,
,KINE,175,9,30,6,,1,20,2,,243,
,NUTR,2,,,,,,1,,,3,
,PHED,1,,,,,,,,,1,
,SPED,12,2,2,1,,,,,,17,
,SPMT,134,13,14,3,,,1,4,,169,
,SPSY,20,2,9,3,,,1,,,35,
,TCMG,22,,9,3,,,,1,,35,
,TCML,17,1,11,3,,,,,,32,
,TECR,1,,,,,,,,,1,
,USEH,3,,,,,,,,,3,
,,"1,503",161,322,58,,9,85,29,6,"2,173",
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,
