Demographic Summary Qatar Campus,,,,,,,,
(Not included in University Total Enrollment) Summer 2011,,,,,,,,
Summer 2011,,Student Level,,,,,Grand Total,
,,U0,U1,U2,U3,U4,,
Head Count Total,,39,41,54,57,74,265,
Gender,Female,21,21,18,31,43,134,
,Male,18,20,36,26,31,131,
Academic Major,CHEN,,7,9,15,14,45,
,ELEL,,1,,,,1,
,ELEN,,16,15,13,26,70,
,GEST,39,3,,,,42,
,MEEN,,9,20,13,6,48,
,PETE,,5,10,16,28,59,
SCH Categories,< 6 SCH,38,29,34,36,51,188,
,6-8 SCH,1,12,20,21,23,77,
TAMU Age Categories,18-21,32,40,52,46,29,199,
,22-25,6,1,2,11,40,60,
,26-30,1,,,,4,5,
,31-39,,,,,1,1,
ft/pt: TAMU Status,Full-Time,,2,1,1,1,5,
,Half-Time,28,34,39,27,36,164,
,Less Than Half-Time,11,5,14,29,37,96,
"Prepared by OISP, 05 Aug 11",,,,,,,,
