Ethnicity International,,,,,,,,,,,,,,,,
Headcount by Major by Classification by Ethnicity College Station Campus,,,,,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,,,,,
Summer 2011,,Undergraduate,,,,,,Masters,,,PhD,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,PB,Master,Total,PhD,Total,Professional Veterinary,Total,,
Other - Special Populations,ELEN,,,,1,,1,,,,,,,,1,
,MARB,,,,,,,,1,1,1,1,,,2,
,MARS,,,,,,,,,,,,,,,
,MASE,,,,,,,,,,,,,,,
,MDSC,,,,,,,,,,,,,,,
,MEEN,,1,,2,,3,,,,,,,,3,
,PETE,,,1,1,,2,,,,,,,,2,
,PHLT,,,,,,,4,,4,,,,,4,
,Subtotal,,1,1,4,,6,4,1,5,1,1,,,12,
University,Total,21,28,38,149,,236,7,816,823,"1,324","1,324",,,"2,383",
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,,,,,
