Headcount by Major by Ethnic Origin College Station Campus,,,,,,,,,,,,
Summer 2011,,,,,,,,,,,,
Summer 2011,,White Only (NEW),Black Only + 2 or more/1 Black (NEW),Hispanic or Latino of any Race (NEW),Asian Only (NEW),Native Hawaii Only (New),American Indian Only (NEW),International,2 or More/Excluding Black (NEW),Unknown or Not Reported,Total,
Geosciences,ATMO,27,,1,,,,21,,,49,
,ENGS,38,1,5,,,1,,,,45,
,ENST,31,1,9,,,,,1,,42,
,GEOG,44,1,7,,,,4,1,1,58,
,GEOL,60,7,15,2,,,18,2,9,113,
,GEOP,8,1,4,1,,,16,,,30,
,GEOS,,,,,,,1,,,1,
,MARB,1,,,,,,,,,1,
,METR,17,,4,1,,,,1,,23,
,OCNG,33,1,2,1,,,25,,1,63,
,USGE,1,,,,,,,,,1,
,WMHS,3,,,,,,3,,,6,
,,263,12,47,5,,1,88,5,11,432,
Liberal Arts,AMST,2,,,,,,,,,2,
,ANTH,43,3,12,1,,,3,,,62,
,CLSS,3,,1,,,,,,,4,
,COMM,184,11,32,6,,2,5,7,,247,
,ECON,154,4,31,17,2,,21,5,1,235,
,ENGL,164,12,31,5,,3,2,4,1,222,
,FREN,1,,,1,,,,,,2,
,GERM,2,,,,,,,,,2,
,HISP,4,,14,,,,7,,,25,
,HIST,175,6,42,2,,,2,6,1,234,
,INTS,152,12,59,4,,1,4,3,,235,
,MODL,1,,1,,,,,,,2,
,MUSC,2,1,2,1,,,,,,6,
,NRSC,1,,1,1,,,1,,,4,
,NUTR,1,,,,,,,,,1,
,PHIL,14,3,1,2,,1,,,,21,
,POLS,187,17,31,10,,,9,3,,257,
,PSYC,322,33,100,34,,2,7,2,2,502,
,RUSS,7,,1,,,,,,,8,
,SOCI,129,30,66,6,,2,2,3,1,239,
,SPAN,19,,16,,,,,,,35,
,TCMS,32,2,3,3,,,1,1,,42,
,THAR,7,,4,1,,,,,,12,
,USLA,3,1,1,,,,,,,5,
,WGST,2,,,,,,,,,2,
,,"1,611",135,449,94,2,11,64,34,6,"2,406",
Science,APHY,3,,2,,,,1,1,,7,
,APMS,32,2,5,4,,,3,,,46,
,BIOL,156,20,52,37,,2,14,5,,286,
,BMCB,12,,7,1,,,2,,,22,
,BOTN,,,1,,,,,,,1,
,CHEM,129,9,20,13,,1,134,1,18,325,
,GENE,1,,,,,,1,,,2,
,MATH,69,3,13,4,,,60,3,1,153,
,MBIO,22,1,5,2,,,4,1,,35,
,MEPS,,,,1,,,1,,,2,
,MSEN,,,,,,,1,,,1,
,PHYS,76,3,19,3,1,,70,2,11,185,
,STAT,52,1,6,15,,,40,2,3,119,
,USSC,12,1,,,,,,,,13,
,ZOOL,17,,2,,,,,1,,20,
,,581,40,132,80,1,3,331,16,33,"1,217",
"Prepared by OISP, 11 Aug 11",,,,,,,,,,,,
