Top 10,,,,,,,,
Summer 2011  Feeder Patterns  New Graduate (College Station Campus),,,,,,,,
Country,,,Students  % Total,,,,,
United States,,,412,,,80.8%,,
"China, People's Rep of",,,27,,,5.3%,,
India,,,20,,,3.9%,,
Turkey,,,6,,,1.2%,,
Iran,,,4,,,0.8%,,
"Korea, Republic of",,,4,,,0.8%,,
Mexico,,,3,,,0.6%,,
Peru,,,3,,,0.6%,,
Taiwan,,,3,,,0.6%,,
Thailand,,,3,,,0.6%,,
Texas County   Students  % Total,,,,,,,,
Harris,,76,,,14.9%,,,
Brazos,,30,,,5.9%,,,
Bexar,,22,,,4.3%,,,
Dallas,,22,,,4.3%,,,
Travis,,20,,,3.9%,,,
Tarrant,,16,,,3.1%,,,
Collin,,12,,,2.4%,,,
Fort Bend,,12,,,2.4%,,,
Denton,,11,,,2.2%,,,
Webb,,11,,,2.2%,,,
State,Students  % Total,,,,,,,
Texas,356,,,69.8%,,,,
California,9,,,1.8%,,,,
Illinois,4,,,0.8%,,,,
Michigan,3,,,0.6%,,,,
Pennsylvania,3,,,0.6%,,,,
Puerto Rico,3,,,0.6%,,,,
Tennessee,3,,,0.6%,,,,
Utah,3,,,0.6%,,,,
Indiana,2,,,0.4%,,,,
Florida,2,,,0.4%,,,,
