Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Panama,4,5,5,,14,
Peru,1,5,8,,14,
Philippines,,,9,,9,
Poland,,,2,,2,
Qatar,5,5,1,,11,
Russia,,2,6,,8,
Rwanda,,,1,,1,
Saudi Arabia,13,12,10,,35,
Serbia,,1,2,,3,
Singapore,1,1,4,,6,
Slovakia,,,1,,1,
South Africa,3,1,1,,5,
Spain,,,2,,2,
Sri Lanka (Ceylon),1,2,6,,9,
Sudan,1,,,,1,
Taiwan,1,20,94,,115,
Tanzania,,,1,,1,
Thailand,1,12,14,,27,
Trinidad & Tobago,1,3,1,,5,
Tunisia,,1,1,,2,
Turkey,,25,40,,65,
Uganda,,2,1,,3,
Ukraine,,,3,,3,
United Arab Emirates,16,2,3,,21,
United Kingdom,1,1,4,,6,
United States,"11,484","1,854","1,385",146,"14,869",
Uzbekistan,,,1,,1,
Venezuela,2,6,4,,12,
Viet Nam Socialist Republic,7,7,10,,24,
