"Summer 2004
Agriculture              AGEC AGED ANSC BAEN BCBP CLAG ENTO FRSC HRSC PLPM POSC RLEM RPTS SCSC WFSC
Subtotal
Architecture   ARCH COSC LAUP
Subtotal
Business Admin      ACCT
AGEC CLBA FINC INFO MGMT MKTG
Subtotal
Education                CLED EAHR EPSY HLKN TLAC
Subtotal
Engineering             AERO BMEN CHEN CLEN CPSC CVEN ELEN ETID INEN MEEN NUEN PETE
Subtotal
G. Bush School       BUSH  of Govt                    Subtotal",Undergraduate,,,,,,Masters,,,,PhD,,Professional,,Grand Total,
,"Freshman
1
1
1
1
2
1
2
1
1
7","Sophomore
1
1
1
3
4
4
4
1
5
1
1
2
1
1
2
1
1
1
9","Junior
3
5
1
6
1
16
2
1
1
4
7
5
7
1
5
2
27
1
6
2
9
1
6
1
1
5
2
12
4
1
3
3
2
41","Senior
1
4
3
3
4
1
1
1
2
1
1
2
24
4
4
8
13
1
6
5
7
6
38
4
3
2
9
3
8
11
8
7
30
12
7
4
2
1
93","PB
1
1","Total
1
8
8
4
10
1
1
1
4
2
1
3
44
10
5
1
16
20
10
13
6
12
9
70
5
11
4
20
4
16
13
1
15
11
47
17
8
9
5
5
151",PB,Master,PhD,Total,PhD,Total,Professional Veterinary,Total,,
,,,,,,,2,1,,1,2,2,,,3,
,,,,,,,,,,,,,,,8,
,,,,,,,,,,,3,3,,,12,
,,,,,,,,,,,,,,,4,
,,,,,,,,,,,4,4,,,14,
,,,,,,,,,,,,,,,1,
,,,,,,,,1,,1,2,2,,,4,
,,,,,,,,,,,2,2,,,3,
,,,,,,,,,,,,,,,4,
,,,,,,,,,,,,,,,2,
,,,,,,,,,,,1,1,,,2,
,,,,,,,,1,,1,,,,,4,
,,,,,,,,3,,3,14,14,,,61,
,,,,,,,,8,,8,,,,,18,
,,,,,,,,1,,1,,,,,6,
,,,,,,,,,,,,,,,1,
,,,,,,,,9,,9,,,,,25,
,,,,,,,,3,,3,,,,,23,
,,,,,,,,2,,2,,,,,12,
,,,,,,,,2,,2,,,,,15,
,,,,,,,,1,,1,,,,,7,
,,,,,,,,,,,,,,,12,
,,,,,,,,1,,1,,,,,10,
,,,,,,,,9,,9,,,,,79,
,,,,,,,,,,,,,,,5,
,,,,,,,,,,,2,2,,,2,
,,,,,,,,2,,2,1,1,,,3,
,,,,,,,,1,,1,,,,,12,
,,,,,,,,,,2,2,2,,,8,
,,,,,,,2,3,,5,5,5,,,30,
,,,,,,,,1,,1,,,,,5,
,,,,,,,,,,,,,,,16,
,,,,,,,,1,,1,1,1,,,15,
,,,,,,,,,,,,,,,1,
,,,,,,,2,2,,4,3,3,,,22,
,,,,,,,,3,,3,2,2,,,16,
,,,,,,,,3,,3,,,,,50,
,,,,,,,,,,,,,,,17,
,,,,,,,,4,,4,,,,,12,
,,,,,,,,2,,2,1,1,,,12,
,,,,,,,1,,,1,2,2,,,8,
,,,,,,,,1,,1,,,,,6,
,,,,,,,3,17,,20,9,9,,,180,
,,,,,,,3,1,,4,,,,,4,
,,,,,,,3,1,,4,,,,,4,
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,,,,,
