"Summer 2004
Geosciences             ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts             ANTH CLLA COMM ECON ENGL HIST JOUR MODL PHUM POLS PRFM PSYC SOCI
Subtotal
Science                    BIOL CHEM MATH PHYS STAT
Subtotal
Veterinary                CLVM
Medicine                  VAPH VLAM VSAM VTPB VTPP
Subtotal
General Studies       GEST
Subtotal
Other - Special        CLMD
Populations              COFD SRPH
Subtotal
Grand Total",White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,"Total
94
11
112
91
53
361
70
147
340
399
348
268
97
61
49
496
33
620
204
3132
472
291
236
177
43
1219
722
38
2
1
51
29
843
670
670
3
29
8
40
19087",
,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
,23,50,,,,1,,,,,6,12,1,1,30,64,,
,5,5,,,1,,,,,,,,,,6,5,,
,33,58,2,1,3,8,,,,,2,4,,1,40,72,,
,20,42,,,3,2,1,,,1,4,14,3,1,31,60,,
,17,15,,,1,,,1,,,10,9,,,28,25,,
,98,170,2,1,8,11,1,1,,1,22,39,4,3,135,226,,
,38,20,,,4,2,2,,,1,,1,1,1,45,25,,
,70,29,3,,18,15,3,2,2,1,1,,1,2,98,49,,
,221,67,4,1,22,11,1,1,1,,3,4,3,1,255,85,,
,70,221,3,6,9,32,7,10,,1,12,23,1,4,102,297,,
,218,64,11,7,17,8,4,3,1,,4,4,6,1,261,87,,
,77,160,1,,4,17,1,1,,1,,,3,3,86,182,,
,59,21,3,,6,1,,,,,4,1,2,,74,23,,
,26,15,1,,9,9,,1,,,,,,,36,25,,
,14,19,,,4,7,1,,,,1,,2,1,22,27,,
,173,243,10,2,19,25,3,4,2,2,3,9,,1,210,286,,
,21,5,,,5,2,,,,,,,,,26,7,,
,365,130,22,7,44,20,13,4,3,1,4,5,1,1,452,168,,
,96,51,10,3,19,13,4,1,1,1,4,,,1,134,70,,
,"1,448","1,045",68,26,180,162,39,27,10,8,36,47,20,16,"1,801","1,331",,
,208,113,10,5,38,32,22,19,1,,7,15,1,1,287,185,,
,58,79,2,4,14,12,9,7,,1,29,71,3,2,115,176,,
,97,61,,,7,5,5,4,,,14,40,1,2,124,112,,
,25,57,,2,1,7,,4,,1,8,71,1,,35,142,,
,3,4,,,,1,,,,,21,14,,,24,19,,
,391,314,12,11,60,57,36,34,1,2,79,211,6,5,585,634,,
,403,187,11,2,49,21,23,11,2,3,1,1,3,5,492,230,,
,17,4,,,1,,,,,,6,10,,,24,14,,
,2,,,,,,,,,,,,,,2,,,
,1,,,,,,,,,,,,,,1,,,
,26,9,,,2,,1,,,,6,6,,1,35,16,,
,3,6,1,,,,1,,,,8,9,1,,14,15,,
,452,206,12,2,52,21,25,11,2,3,21,26,4,6,568,275,,
,222,262,22,25,48,58,7,14,2,1,1,6,1,1,303,367,,
,222,262,22,25,48,58,7,14,2,1,1,6,1,1,303,367,,
,1,1,,,,,,,,,1,,,,2,1,,
,4,4,1,,1,1,3,2,,,3,10,,,12,17,,
,2,3,2,,1,,,,,,,,,,5,3,,
,7,8,3,,2,1,3,2,,,4,10,,,19,21,,
,"7,042","6,686",332,244,854,803,266,313,37,42,640,"1,643",81,104,"9,252","9,835",,
"Prepared by OISP, 18 Aug 04",,,,,,,,,,,,,,,,,,
